País,Área geográfica,Quintil,Años,id_fuente,ids_notas,iso3,valor
América Latina (promedio simple),Nacional,Quintil 2,2004,26,"8620,7765",,4.6
América Latina (promedio simple),Nacional,Quintil 3,2004,26,"8620,7765",,4.2
América Latina (promedio simple),Nacional,Quintil 4,2004,26,"8620,7765",,3.7
América Latina (promedio simple),Nacional,Quintil 5,2004,26,"7765,8620",,3.1
América Latina (promedio simple),Nacional,Total quintiles,2004,26,"8620,7765",,4.1
América Latina (promedio simple),Rural,Quintil 1,2004,26,"8620,10395",,5.5
América Latina (promedio simple),Rural,Quintil 2,2004,26,"8620,10395",,5
América Latina (promedio simple),Rural,Quintil 3,2004,26,"8620,10395",,4.6
América Latina (promedio simple),Rural,Quintil 4,2004,26,"8620,10395",,4
América Latina (promedio simple),Rural,Quintil 5,2004,26,"8620,10395",,3.3
América Latina (promedio simple),Rural,Total quintiles,2004,26,"8620,10395",,4.5
América Latina (promedio simple),Urbana,Quintil 1,2004,26,"8620,7765",,4.9
América Latina (promedio simple),Urbana,Quintil 2,2004,26,"8620,7765",,4.5
América Latina (promedio simple),Urbana,Quintil 3,2004,26,"8620,7765",,4
América Latina (promedio simple),Urbana,Quintil 4,2004,26,"8620,7765",,3.6
América Latina (promedio simple),Urbana,Quintil 5,2004,26,"8620,7765",,3.1
América Latina (promedio simple),Urbana,Total quintiles,2004,26,"8620,7765",,4
América Latina (promedio simple),Nacional,Quintil 1,2005,26,"8620,7765",,5
América Latina (promedio simple),Nacional,Quintil 2,2005,26,"8620,7765",,4.6
América Latina (promedio simple),Nacional,Quintil 3,2005,26,"8620,7765",,4.1
América Latina (promedio simple),Nacional,Quintil 4,2005,26,"8620,7765",,3.6
América Latina (promedio simple),Nacional,Quintil 5,2005,26,"8620,7765",,3
América Latina (promedio simple),Nacional,Total quintiles,2005,26,"8620,7765",,4.1
América Latina (promedio simple),Rural,Quintil 1,2005,26,"8620,10395",,5.4
América Latina (promedio simple),Rural,Quintil 2,2005,26,"8620,10395",,4.9
América Latina (promedio simple),Rural,Quintil 3,2005,26,"8620,10395",,4.5
América Latina (promedio simple),Rural,Quintil 4,2005,26,"8620,10395",,4
América Latina (promedio simple),Rural,Quintil 5,2005,26,"8620,10395",,3.2
América Latina (promedio simple),Rural,Total quintiles,2005,26,"8620,10395",,4.4
América Latina (promedio simple),Urbana,Quintil 1,2005,26,"8620,7765",,4.8
América Latina (promedio simple),Urbana,Quintil 2,2005,26,"8620,7765",,4.5
América Latina (promedio simple),Urbana,Quintil 3,2005,26,"8620,7765",,4
América Latina (promedio simple),Urbana,Quintil 4,2005,26,"8620,7765",,3.5
América Latina (promedio simple),Urbana,Quintil 5,2005,26,"8620,7765",,3
América Latina (promedio simple),Urbana,Total quintiles,2005,26,"8620,7765",,4
América Latina (promedio simple),Nacional,Quintil 1,2006,26,"8620,7765",,5
América Latina (promedio simple),Nacional,Quintil 2,2006,26,"8620,7765",,4.5
América Latina (promedio simple),Nacional,Quintil 3,2006,26,"8620,7765",,4
América Latina (promedio simple),Nacional,Quintil 4,2006,26,"8620,7765",,3.6
América Latina (promedio simple),Nacional,Quintil 5,2006,26,"8620,7765",,3
América Latina (promedio simple),Nacional,Total quintiles,2006,26,"8620,7765",,4
América Latina (promedio simple),Rural,Quintil 1,2006,26,"8620,10395",,5.4
América Latina (promedio simple),Rural,Quintil 2,2006,26,"8620,10395",,4.9
América Latina (promedio simple),Rural,Quintil 3,2006,26,"8620,10395",,4.4
América Latina (promedio simple),Rural,Quintil 4,2006,26,"8620,10395",,3.9
América Latina (promedio simple),Rural,Quintil 5,2006,26,"8620,10395",,3.1
América Latina (promedio simple),Rural,Total quintiles,2006,26,"8620,10395",,4.4
América Latina (promedio simple),Urbana,Quintil 1,2006,26,"8620,7765",,4.8
América Latina (promedio simple),Urbana,Quintil 2,2006,26,"8620,7765",,4.4
América Latina (promedio simple),Urbana,Quintil 3,2006,26,"8620,7765",,4
América Latina (promedio simple),Urbana,Quintil 4,2006,26,"8620,7765",,3.5
América Latina (promedio simple),Urbana,Quintil 5,2006,26,"8620,7765",,2.9
América Latina (promedio simple),Urbana,Total quintiles,2006,26,"8620,7765",,3.9
América Latina (promedio simple),Nacional,Quintil 1,2007,26,"8620,7765",,5
América Latina (promedio simple),Nacional,Quintil 2,2007,26,"8620,7765",,4.5
América Latina (promedio simple),Nacional,Quintil 3,2007,26,"8620,7765",,4
América Latina (promedio simple),Nacional,Quintil 4,2007,26,"8620,7765",,3.6
América Latina (promedio simple),Nacional,Quintil 5,2007,26,"8620,7765",,3
América Latina (promedio simple),Nacional,Total quintiles,2007,26,"8620,7765",,4
América Latina (promedio simple),Rural,Quintil 1,2007,26,"8620,7766",,5.3
América Latina (promedio simple),Rural,Quintil 2,2007,26,"8620,7766",,4.7
América Latina (promedio simple),Rural,Quintil 3,2007,26,"8620,7766",,4.3
América Latina (promedio simple),Rural,Quintil 4,2007,26,"8620,7766",,3.9
América Latina (promedio simple),Rural,Quintil 5,2007,26,"8620,7766",,3
América Latina (promedio simple),Rural,Total quintiles,2007,26,"8620,7766",,4.2
América Latina (promedio simple),Urbana,Quintil 1,2007,26,"8620,7765",,4.8
América Latina (promedio simple),Urbana,Quintil 2,2007,26,"8620,7765",,4.4
América Latina (promedio simple),Urbana,Quintil 3,2007,26,"7765,8620",,3.9
América Latina (promedio simple),Urbana,Quintil 4,2007,26,"8620,7765",,3.4
América Latina (promedio simple),Urbana,Quintil 5,2007,26,"8620,7765",,2.9
América Latina (promedio simple),Urbana,Total quintiles,2007,26,"8620,7765",,3.9
América Latina (promedio simple),Nacional,Quintil 1,2008,26,"8620,7765",,4.9
América Latina (promedio simple),Nacional,Quintil 2,2008,26,"8620,7765",,4.4
América Latina (promedio simple),Nacional,Quintil 3,2008,26,"8620,7765",,4
América Latina (promedio simple),Nacional,Quintil 4,2008,26,"8620,7765",,3.6
América Latina (promedio simple),Nacional,Quintil 5,2008,26,"8620,7765",,2.9
América Latina (promedio simple),Nacional,Total quintiles,2008,26,"8620,7765",,4
América Latina (promedio simple),Rural,Quintil 1,2008,26,"8620,7766",,5.2
América Latina (promedio simple),Rural,Quintil 2,2008,26,"8620,7766",,4.7
América Latina (promedio simple),Rural,Quintil 3,2008,26,"8620,7766",,4.2
América Latina (promedio simple),Rural,Quintil 4,2008,26,"8620,7766",,3.8
América Latina (promedio simple),Rural,Quintil 5,2008,26,"8620,7766",,3
América Latina (promedio simple),Rural,Total quintiles,2008,26,"8620,7766",,4.2
América Latina (promedio simple),Urbana,Quintil 1,2008,26,"8620,7765",,4.7
América Latina (promedio simple),Urbana,Quintil 2,2008,26,"8620,7765",,4.3
América Latina (promedio simple),Urbana,Quintil 3,2008,26,"8620,7765",,3.9
América Latina (promedio simple),Urbana,Quintil 4,2008,26,"8620,7765",,3.4
América Latina (promedio simple),Urbana,Quintil 5,2008,26,"8620,7765",,2.9
América Latina (promedio simple),Urbana,Total quintiles,2008,26,"8620,7765",,3.8
América Latina (promedio simple),Nacional,Quintil 1,2009,26,"8620,7765",,4.8
América Latina (promedio simple),Nacional,Quintil 2,2009,26,"7765,8620",,4.3
América Latina (promedio simple),Nacional,Quintil 3,2009,26,"8620,7765",,3.9
América Latina (promedio simple),Nacional,Quintil 4,2009,26,"8620,7765",,3.5
América Latina (promedio simple),Nacional,Quintil 5,2009,26,"8620,7765",,2.9
América Latina (promedio simple),Nacional,Total quintiles,2009,26,"8620,7765",,3.9
América Latina (promedio simple),Rural,Quintil 1,2009,26,"8620,7766",,5.1
América Latina (promedio simple),Rural,Quintil 2,2009,26,"8620,7766",,4.6
América Latina (promedio simple),Rural,Quintil 3,2009,26,"8620,7766",,4.2
América Latina (promedio simple),Rural,Quintil 4,2009,26,"8620,7766",,3.7
América Latina (promedio simple),Rural,Quintil 5,2009,26,"8620,7766",,3
América Latina (promedio simple),Rural,Total quintiles,2009,26,"8620,7766",,4.1
América Latina (promedio simple),Urbana,Quintil 1,2009,26,"8620,7765",,4.6
América Latina (promedio simple),Urbana,Quintil 2,2009,26,"8620,7765",,4.2
América Latina (promedio simple),Urbana,Quintil 3,2009,26,"8620,7765",,3.8
América Latina (promedio simple),Urbana,Quintil 4,2009,26,"8620,7765",,3.4
América Latina (promedio simple),Urbana,Quintil 5,2009,26,"8620,7765",,2.9
América Latina (promedio simple),Urbana,Total quintiles,2009,26,"8620,7765",,3.8
América Latina (promedio simple),Nacional,Quintil 1,2010,26,"8620,7765",,4.8
América Latina (promedio simple),Nacional,Quintil 2,2010,26,"8620,7765",,4.3
América Latina (promedio simple),Nacional,Quintil 3,2010,26,"8620,7765",,3.9
América Latina (promedio simple),Nacional,Quintil 4,2010,26,"8620,7765",,3.5
América Latina (promedio simple),Nacional,Quintil 5,2010,26,"8620,7765",,2.9
América Latina (promedio simple),Nacional,Total quintiles,2010,26,"8620,7765",,3.9
América Latina (promedio simple),Rural,Quintil 1,2010,26,"8620,7766",,5.1
América Latina (promedio simple),Rural,Quintil 2,2010,26,"8620,7766",,4.5
América Latina (promedio simple),Rural,Quintil 3,2010,26,"7766,8620",,4.1
América Latina (promedio simple),Rural,Quintil 4,2010,26,"8620,7766",,3.7
América Latina (promedio simple),Rural,Quintil 5,2010,26,"8620,7766",,3
América Latina (promedio simple),Rural,Total quintiles,2010,26,"8620,7766",,4.1
América Latina (promedio simple),Urbana,Quintil 1,2010,26,"8620,7765",,4.6
América Latina (promedio simple),Urbana,Quintil 2,2010,26,"8620,7765",,4.2
América Latina (promedio simple),Urbana,Quintil 3,2010,26,"8620,7765",,3.8
América Latina (promedio simple),Urbana,Quintil 4,2010,26,"8620,7765",,3.3
América Latina (promedio simple),Urbana,Quintil 5,2010,26,"8620,7765",,2.8
América Latina (promedio simple),Urbana,Total quintiles,2010,26,"8620,7765",,3.8
América Latina (promedio simple),Nacional,Quintil 1,2011,26,"8620,7765",,4.7
América Latina (promedio simple),Nacional,Quintil 2,2011,26,"8620,7765",,4.3
América Latina (promedio simple),Nacional,Quintil 3,2011,26,"8620,7765",,3.8
América Latina (promedio simple),Nacional,Quintil 4,2011,26,"8620,7765",,3.4
América Latina (promedio simple),Nacional,Quintil 5,2011,26,"8620,7765",,2.8
América Latina (promedio simple),Nacional,Total quintiles,2011,26,"8620,7765",,3.8
América Latina (promedio simple),Rural,Quintil 1,2011,26,"8620,7766",,5
América Latina (promedio simple),Rural,Quintil 2,2011,26,"7766,8620",,4.5
América Latina (promedio simple),Rural,Quintil 3,2011,26,"8620,7766",,4.1
América Latina (promedio simple),Rural,Quintil 4,2011,26,"8620,7766",,3.6
América Latina (promedio simple),Rural,Quintil 5,2011,26,"8620,7766",,3
América Latina (promedio simple),Rural,Total quintiles,2011,26,"8620,7766",,4
América Latina (promedio simple),Urbana,Quintil 1,2011,26,"8620,7765",,4.5
América Latina (promedio simple),Urbana,Quintil 2,2011,26,"8620,7765",,4.1
América Latina (promedio simple),Urbana,Quintil 3,2011,26,"8620,7765",,3.7
América Latina (promedio simple),Urbana,Quintil 4,2011,26,"8620,7765",,3.3
América Latina (promedio simple),Urbana,Quintil 5,2011,26,"8620,7765",,2.8
América Latina (promedio simple),Urbana,Total quintiles,2011,26,"8620,7765",,3.7
América Latina (promedio simple),Nacional,Quintil 1,2012,26,"8620,7765",,4.7
América Latina (promedio simple),Nacional,Quintil 2,2012,26,"8620,7765",,4.2
América Latina (promedio simple),Nacional,Quintil 3,2012,26,"8620,7765",,3.8
América Latina (promedio simple),Nacional,Quintil 4,2012,26,"8620,7765",,3.4
América Latina (promedio simple),Nacional,Quintil 5,2012,26,"8620,7765",,2.8
América Latina (promedio simple),Nacional,Total quintiles,2012,26,"8620,7765",,3.8
América Latina (promedio simple),Rural,Quintil 1,2012,26,"8620,7766",,4.9
América Latina (promedio simple),Rural,Quintil 2,2012,26,"8620,7766",,4.4
América Latina (promedio simple),Rural,Quintil 3,2012,26,"8620,7766",,4
América Latina (promedio simple),Rural,Quintil 4,2012,26,"8620,7766",,3.6
América Latina (promedio simple),Rural,Quintil 5,2012,26,"8620,7766",,2.9
América Latina (promedio simple),Rural,Total quintiles,2012,26,"8620,7766",,4
América Latina (promedio simple),Urbana,Quintil 1,2012,26,"8620,7765",,4.5
América Latina (promedio simple),Urbana,Quintil 2,2012,26,"8620,7765",,4.1
América Latina (promedio simple),Urbana,Quintil 3,2012,26,"8620,7765",,3.7
América Latina (promedio simple),Urbana,Quintil 4,2012,26,"8620,7765",,3.3
América Latina (promedio simple),Urbana,Quintil 5,2012,26,"8620,7765",,2.8
América Latina (promedio simple),Urbana,Total quintiles,2012,26,"8620,7765",,3.7
América Latina (promedio simple),Nacional,Quintil 1,2013,26,"8620,7765",,4.6
América Latina (promedio simple),Nacional,Quintil 2,2013,26,"8620,7765",,4.2
América Latina (promedio simple),Nacional,Quintil 3,2013,26,"8620,7765",,3.8
América Latina (promedio simple),Nacional,Quintil 4,2013,26,"8620,7765",,3.4
América Latina (promedio simple),Nacional,Quintil 5,2013,26,"8620,7765",,2.8
América Latina (promedio simple),Nacional,Total quintiles,2013,26,"8620,7765",,3.8
América Latina (promedio simple),Rural,Quintil 1,2013,26,"8620,7766",,4.9
América Latina (promedio simple),Rural,Quintil 2,2013,26,"8620,7766",,4.4
América Latina (promedio simple),Rural,Quintil 3,2013,26,"8620,7766",,4
América Latina (promedio simple),Rural,Quintil 4,2013,26,"8620,7766",,3.5
América Latina (promedio simple),Rural,Quintil 5,2013,26,"8620,7766",,2.9
América Latina (promedio simple),Rural,Total quintiles,2013,26,"8620,7766",,4
América Latina (promedio simple),Urbana,Quintil 1,2013,26,"8620,7765",,4.5
América Latina (promedio simple),Urbana,Quintil 2,2013,26,"8620,7765",,4.1
América Latina (promedio simple),Urbana,Quintil 3,2013,26,"8620,7765",,3.7
América Latina (promedio simple),Urbana,Quintil 4,2013,26,"8620,7765",,3.3
América Latina (promedio simple),Urbana,Quintil 5,2013,26,"8620,7765",,2.8
América Latina (promedio simple),Urbana,Total quintiles,2013,26,"8620,7765",,3.7
América Latina (promedio simple),Nacional,Quintil 1,2014,26,"8620,7765",,4.5
América Latina (promedio simple),Nacional,Quintil 2,2014,26,"8620,7765",,4.1
América Latina (promedio simple),Nacional,Quintil 3,2014,26,"8620,7765",,3.7
América Latina (promedio simple),Nacional,Quintil 4,2014,26,"8620,7765",,3.3
América Latina (promedio simple),Nacional,Quintil 5,2014,26,"8620,7765",,2.7
América Latina (promedio simple),Nacional,Total quintiles,2014,26,"8620,7765",,3.7
América Latina (promedio simple),Rural,Quintil 1,2014,26,"8620,7766",,4.8
América Latina (promedio simple),Rural,Quintil 2,2014,26,"8620,7766",,4.2
América Latina (promedio simple),Rural,Quintil 3,2014,26,"8620,7766",,3.9
América Latina (promedio simple),Rural,Quintil 4,2014,26,"8620,7766",,3.5
América Latina (promedio simple),Rural,Quintil 5,2014,26,"8620,7766",,2.8
América Latina (promedio simple),Rural,Total quintiles,2014,26,"8620,7766",,3.8
América Latina (promedio simple),Urbana,Quintil 1,2014,26,"8620,7765",,4.4
América Latina (promedio simple),Urbana,Quintil 2,2014,26,"8620,7765",,4.1
América Latina (promedio simple),Urbana,Quintil 3,2014,26,"8620,7765",,3.7
América Latina (promedio simple),Urbana,Quintil 4,2014,26,"8620,7765",,3.2
América Latina (promedio simple),Urbana,Quintil 5,2014,26,"8620,7765",,2.7
América Latina (promedio simple),Urbana,Total quintiles,2014,26,"8620,7765",,3.6
América Latina (promedio simple),Nacional,Quintil 1,2015,26,"8620,7765",,4.5
América Latina (promedio simple),Nacional,Quintil 2,2015,26,"8620,7765",,4.1
América Latina (promedio simple),Nacional,Quintil 3,2015,26,"8620,7765",,3.7
América Latina (promedio simple),Nacional,Quintil 4,2015,26,"8620,7765",,3.3
América Latina (promedio simple),Nacional,Quintil 5,2015,26,"7765,8620",,2.7
América Latina (promedio simple),Nacional,Total quintiles,2015,26,"8620,7765",,3.7
América Latina (promedio simple),Rural,Quintil 1,2015,26,"8620,7766",,4.7
América Latina (promedio simple),Rural,Quintil 2,2015,26,"8620,7766",,4.2
América Latina (promedio simple),Rural,Quintil 3,2015,26,"7766,8620",,3.8
América Latina (promedio simple),Rural,Quintil 4,2015,26,"8620,7766",,3.4
América Latina (promedio simple),Rural,Quintil 5,2015,26,"8620,7766",,2.8
América Latina (promedio simple),Rural,Total quintiles,2015,26,"8620,7766",,3.8
América Latina (promedio simple),Urbana,Quintil 1,2015,26,"8620,7765",,4.4
América Latina (promedio simple),Urbana,Quintil 2,2015,26,"8620,7765",,4
América Latina (promedio simple),Urbana,Quintil 3,2015,26,"8620,7765",,3.6
América Latina (promedio simple),Urbana,Quintil 4,2015,26,"8620,7765",,3.2
América Latina (promedio simple),Urbana,Quintil 5,2015,26,"8620,7765",,2.7
América Latina (promedio simple),Urbana,Total quintiles,2015,26,"8620,7765",,3.6
América Latina (promedio simple),Nacional,Quintil 1,2016,26,"8620,7765",,4.4
América Latina (promedio simple),Nacional,Quintil 2,2016,26,"8620,7765",,4
América Latina (promedio simple),Nacional,Quintil 3,2016,26,"8620,7765",,3.7
América Latina (promedio simple),Nacional,Quintil 4,2016,26,"8620,7765",,3.2
América Latina (promedio simple),Nacional,Quintil 5,2016,26,"8620,7765",,2.7
América Latina (promedio simple),Nacional,Total quintiles,2016,26,"8620,7765",,3.6
América Latina (promedio simple),Rural,Quintil 1,2016,26,"8620,7766",,4.7
América Latina (promedio simple),Rural,Quintil 2,2016,26,"7766,8620",,4.1
América Latina (promedio simple),Rural,Quintil 3,2016,26,"8620,7766",,3.8
América Latina (promedio simple),Rural,Quintil 4,2016,26,"8620,7766",,3.4
América Latina (promedio simple),Rural,Quintil 5,2016,26,"7766,8620",,2.8
América Latina (promedio simple),Rural,Total quintiles,2016,26,"8620,7766",,3.8
América Latina (promedio simple),Urbana,Quintil 1,2016,26,"8620,7765",,4.4
América Latina (promedio simple),Urbana,Quintil 2,2016,26,"8620,7765",,4
América Latina (promedio simple),Urbana,Quintil 3,2016,26,"7765,8620",,3.6
América Latina (promedio simple),Urbana,Quintil 4,2016,26,"8620,7765",,3.2
América Latina (promedio simple),Urbana,Quintil 5,2016,26,"8620,7765",,2.7
América Latina (promedio simple),Urbana,Total quintiles,2016,26,"8620,7765",,3.5
América Latina (promedio simple),Nacional,Quintil 1,2017,26,"8620,7765",,4.4
América Latina (promedio simple),Nacional,Quintil 2,2017,26,"7765,8620",,4
América Latina (promedio simple),Nacional,Quintil 3,2017,26,"7765,8620",,3.6
América Latina (promedio simple),Nacional,Quintil 4,2017,26,"7765,8620",,3.2
América Latina (promedio simple),Nacional,Quintil 5,2017,26,"8620,7765",,2.7
América Latina (promedio simple),Nacional,Total quintiles,2017,26,"7765,8620",,3.6
América Latina (promedio simple),Rural,Quintil 1,2017,26,"7766,8620",,4.6
América Latina (promedio simple),Rural,Quintil 2,2017,26,"8620,7766",,4.1
América Latina (promedio simple),Rural,Quintil 3,2017,26,"8620,7766",,3.7
América Latina (promedio simple),Rural,Quintil 4,2017,26,"8620,7766",,3.4
América Latina (promedio simple),Rural,Quintil 5,2017,26,"8620,7766",,2.8
América Latina (promedio simple),Rural,Total quintiles,2017,26,"8620,7766",,3.7
América Latina (promedio simple),Urbana,Quintil 1,2017,26,"7765,8620",,4.3
América Latina (promedio simple),Urbana,Quintil 2,2017,26,"8620,7765",,4
América Latina (promedio simple),Urbana,Quintil 3,2017,26,"8620,7765",,3.5
América Latina (promedio simple),Urbana,Quintil 4,2017,26,"8620,7765",,3.1
América Latina (promedio simple),Urbana,Quintil 5,2017,26,"8620,7765",,2.6
América Latina (promedio simple),Urbana,Total quintiles,2017,26,"8620,7765",,3.5
América Latina (promedio simple),Nacional,Quintil 1,2018,26,"8620,7765",,4.4
América Latina (promedio simple),Nacional,Quintil 2,2018,26,"8620,7765",,3.9
América Latina (promedio simple),Nacional,Quintil 3,2018,26,"8620,7765",,3.6
América Latina (promedio simple),Nacional,Quintil 4,2018,26,"7765,8620",,3.2
América Latina (promedio simple),Nacional,Quintil 5,2018,26,"8620,7765",,2.6
América Latina (promedio simple),Nacional,Total quintiles,2018,26,"8620,7765",,3.6
América Latina (promedio simple),Rural,Quintil 1,2018,26,"8620,7766",,4.6
América Latina (promedio simple),Rural,Quintil 2,2018,26,"8620,7766",,4.1
América Latina (promedio simple),Rural,Quintil 3,2018,26,"8620,7766",,3.7
América Latina (promedio simple),Rural,Quintil 4,2018,26,"8620,7766",,3.3
América Latina (promedio simple),Rural,Quintil 5,2018,26,"8620,7766",,2.7
América Latina (promedio simple),Rural,Total quintiles,2018,26,"8620,7766",,3.7
América Latina (promedio simple),Urbana,Quintil 1,2018,26,"8620,7765",,4.3
América Latina (promedio simple),Urbana,Quintil 2,2018,26,"8620,7765",,3.9
América Latina (promedio simple),Urbana,Quintil 3,2018,26,"8620,7765",,3.5
América Latina (promedio simple),Urbana,Quintil 4,2018,26,"8620,7765",,3.1
América Latina (promedio simple),Urbana,Quintil 5,2018,26,"8620,7765",,2.6
América Latina (promedio simple),Urbana,Total quintiles,2018,26,"8620,7765",,3.5
América Latina (promedio simple),Nacional,Quintil 1,2019,26,"8620,7765",,4.4
América Latina (promedio simple),Nacional,Quintil 2,2019,26,"8620,7765",,3.9
América Latina (promedio simple),Nacional,Quintil 3,2019,26,"8620,7765",,3.6
América Latina (promedio simple),Nacional,Quintil 4,2019,26,"8620,7765",,3.2
América Latina (promedio simple),Nacional,Quintil 5,2019,26,"8620,7765",,2.6
América Latina (promedio simple),Nacional,Total quintiles,2019,26,"8620,7765",,3.5
América Latina (promedio simple),Rural,Quintil 1,2019,26,"8620,7766",,4.5
América Latina (promedio simple),Rural,Quintil 2,2019,26,"8620,7766",,4.1
América Latina (promedio simple),Rural,Quintil 3,2019,26,"8620,7766",,3.7
América Latina (promedio simple),Rural,Quintil 4,2019,26,"8620,7766",,3.3
América Latina (promedio simple),Rural,Quintil 5,2019,26,"8620,7766",,2.7
América Latina (promedio simple),Rural,Total quintiles,2019,26,"8620,7766",,3.7
América Latina (promedio simple),Urbana,Quintil 1,2019,26,"8620,7765",,4.3
América Latina (promedio simple),Urbana,Quintil 2,2019,26,"8620,7765",,3.9
América Latina (promedio simple),Urbana,Quintil 3,2019,26,"8620,7765",,3.5
América Latina (promedio simple),Urbana,Quintil 4,2019,26,"8620,7765",,3.1
América Latina (promedio simple),Urbana,Quintil 5,2019,26,"8620,7765",,2.6
América Latina (promedio simple),Urbana,Total quintiles,2019,26,"8620,7765",,3.5
Argentina,Urbana,Quintil 1,2000,26,923,ARG,4.4
Argentina,Urbana,Quintil 2,2000,26,923,ARG,4.1
Argentina,Urbana,Quintil 3,2000,26,923,ARG,3.4
Argentina,Urbana,Quintil 4,2000,26,923,ARG,3
Argentina,Urbana,Quintil 5,2000,26,923,ARG,2.5
Argentina,Urbana,Total quintiles,2000,26,923,ARG,3.5
Argentina,Urbana,Quintil 1,2001,26,923,ARG,4.4
Argentina,Urbana,Quintil 2,2001,26,923,ARG,4.3
Argentina,Urbana,Quintil 3,2001,26,923,ARG,3.4
Argentina,Urbana,Quintil 4,2001,26,923,ARG,2.9
Argentina,Urbana,Quintil 5,2001,26,923,ARG,2.5
Argentina,Urbana,Total quintiles,2001,26,923,ARG,3.5
Argentina,Urbana,Quintil 1,2002,26,923,ARG,4.2
