Sexo,País,Área geográfica,Grupo edad para participación en la PEA,Años,id_fuente,ids_notas,iso3,valor
Hombres,Argentina,Urbana,25 a 34 años,2001,26,923,ARG,92.86
Hombres,Argentina,Urbana,35 a 44 años,2001,26,923,ARG,96.56
Hombres,Argentina,Urbana,45 a 59 años,2001,26,923,ARG,90.85
Hombres,Argentina,Urbana,60 años y más,2001,26,923,ARG,34.66
Mujeres,Argentina,Urbana,Total (15 años y más),2001,26,923,ARG,42.99
Mujeres,Argentina,Urbana,15 a 24 años,2001,26,923,ARG,33.67
Mujeres,Argentina,Urbana,25 a 34 años,2001,26,923,ARG,60.6
Mujeres,Argentina,Urbana,35 a 44 años,2001,26,923,ARG,61.1
Mujeres,Argentina,Urbana,45 a 59 años,2001,26,923,ARG,55.21
Mujeres,Argentina,Urbana,60 años y más,2001,26,923,ARG,11.8
Ambos sexos,Argentina,Urbana,Total (15 años y más),2002,26,923,ARG,57.45
Ambos sexos,Argentina,Urbana,15 a 24 años,2002,26,923,ARG,40.67
Ambos sexos,Argentina,Urbana,25 a 34 años,2002,26,923,ARG,77.43
Ambos sexos,Argentina,Urbana,35 a 44 años,2002,26,923,ARG,81.34
Ambos sexos,Argentina,Urbana,45 a 59 años,2002,26,923,ARG,72.24
Ambos sexos,Argentina,Urbana,60 años y más,2002,26,923,ARG,22.41
Hombres,Argentina,Urbana,Total (15 años y más),2002,26,923,ARG,71.6
Hombres,Argentina,Urbana,15 a 24 años,2002,26,923,ARG,47.65
Hombres,Argentina,Urbana,25 a 34 años,2002,26,923,ARG,92.17
Hombres,Argentina,Urbana,35 a 44 años,2002,26,923,ARG,96.6
Hombres,Argentina,Urbana,45 a 59 años,2002,26,923,ARG,89.65
Hombres,Argentina,Urbana,60 años y más,2002,26,923,ARG,37
Mujeres,Argentina,Urbana,Total (15 años y más),2002,26,923,ARG,45.24
Mujeres,Argentina,Urbana,15 a 24 años,2002,26,923,ARG,34.15
Mujeres,Argentina,Urbana,25 a 34 años,2002,26,923,ARG,63.73
Mujeres,Argentina,Urbana,35 a 44 años,2002,26,923,ARG,67.79
Mujeres,Argentina,Urbana,45 a 59 años,2002,26,923,ARG,56.99
Mujeres,Argentina,Urbana,60 años y más,2002,26,923,ARG,12.37
Ambos sexos,Argentina,Urbana,Total (15 años y más),2003,26,337,ARG,61.95
Ambos sexos,Argentina,Urbana,15 a 24 años,2003,26,337,ARG,47.78
Ambos sexos,Argentina,Urbana,25 a 34 años,2003,26,337,ARG,81.71
Ambos sexos,Argentina,Urbana,35 a 44 años,2003,26,337,ARG,82.97
Ambos sexos,Argentina,Urbana,45 a 59 años,2003,26,337,ARG,75.06
Ambos sexos,Argentina,Urbana,60 años y más,2003,26,337,ARG,26.94
Hombres,Argentina,Urbana,Total (15 años y más),2003,26,337,ARG,75.59
Hombres,Argentina,Urbana,15 a 24 años,2003,26,337,ARG,54.3
Hombres,Argentina,Urbana,25 a 34 años,2003,26,337,ARG,94.74
Hombres,Argentina,Urbana,35 a 44 años,2003,26,337,ARG,97.72
Hombres,Argentina,Urbana,45 a 59 años,2003,26,337,ARG,93.33
Hombres,Argentina,Urbana,60 años y más,2003,26,337,ARG,41.35
Mujeres,Argentina,Urbana,Total (15 años y más),2003,26,337,ARG,49.99
Mujeres,Argentina,Urbana,15 a 24 años,2003,26,337,ARG,41.44
Mujeres,Argentina,Urbana,25 a 34 años,2003,26,337,ARG,69.83
Mujeres,Argentina,Urbana,35 a 44 años,2003,26,337,ARG,69.1
Mujeres,Argentina,Urbana,45 a 59 años,2003,26,337,ARG,59.55
Mujeres,Argentina,Urbana,60 años y más,2003,26,337,ARG,16.69
Ambos sexos,Argentina,Urbana,Total (15 años y más),2004,26,337,ARG,61.95
Ambos sexos,Argentina,Urbana,15 a 24 años,2004,26,337,ARG,46.69
Ambos sexos,Argentina,Urbana,25 a 34 años,2004,26,337,ARG,81.29
Ambos sexos,Argentina,Urbana,35 a 44 años,2004,26,337,ARG,82.9
Ambos sexos,Argentina,Urbana,45 a 59 años,2004,26,337,ARG,76.04
Ambos sexos,Argentina,Urbana,60 años y más,2004,26,337,ARG,26.78
Hombres,Argentina,Urbana,Total (15 años y más),2004,26,337,ARG,75.86
Hombres,Argentina,Urbana,15 a 24 años,2004,26,337,ARG,55.79
Hombres,Argentina,Urbana,25 a 34 años,2004,26,337,ARG,94.14
Hombres,Argentina,Urbana,35 a 44 años,2004,26,337,ARG,97.58
Hombres,Argentina,Urbana,45 a 59 años,2004,26,337,ARG,91.83
Hombres,Argentina,Urbana,60 años y más,2004,26,337,ARG,41.24
Mujeres,Argentina,Urbana,Total (15 años y más),2004,26,337,ARG,49.77
Mujeres,Argentina,Urbana,15 a 24 años,2004,26,337,ARG,37.66
Mujeres,Argentina,Urbana,25 a 34 años,2004,26,337,ARG,69.33
Mujeres,Argentina,Urbana,35 a 44 años,2004,26,337,ARG,69.52
Mujeres,Argentina,Urbana,45 a 59 años,2004,26,337,ARG,62.31
Mujeres,Argentina,Urbana,60 años y más,2004,26,337,ARG,16.99
Ambos sexos,Argentina,Urbana,Total (15 años y más),2005,26,337,ARG,61.67
Ambos sexos,Argentina,Urbana,15 a 24 años,2005,26,337,ARG,44.71
Ambos sexos,Argentina,Urbana,25 a 34 años,2005,26,337,ARG,80.62
Ambos sexos,Argentina,Urbana,35 a 44 años,2005,26,337,ARG,82.68
Ambos sexos,Argentina,Urbana,45 a 59 años,2005,26,337,ARG,76.97
Ambos sexos,Argentina,Urbana,60 años y más,2005,26,337,ARG,28.17
Hombres,Argentina,Urbana,Total (15 años y más),2005,26,337,ARG,75.03
Hombres,Argentina,Urbana,15 a 24 años,2005,26,337,ARG,53.19
Hombres,Argentina,Urbana,25 a 34 años,2005,26,337,ARG,93.74
Hombres,Argentina,Urbana,35 a 44 años,2005,26,337,ARG,96.44
Hombres,Argentina,Urbana,45 a 59 años,2005,26,337,ARG,92.28
Hombres,Argentina,Urbana,60 años y más,2005,26,337,ARG,42.48
Mujeres,Argentina,Urbana,Total (15 años y más),2005,26,337,ARG,49.97
Mujeres,Argentina,Urbana,15 a 24 años,2005,26,337,ARG,36.08
Mujeres,Argentina,Urbana,25 a 34 años,2005,26,337,ARG,68.4
Mujeres,Argentina,Urbana,35 a 44 años,2005,26,337,ARG,70.28
Mujeres,Argentina,Urbana,45 a 59 años,2005,26,337,ARG,63.89
Mujeres,Argentina,Urbana,60 años y más,2005,26,337,ARG,18.48
Ambos sexos,Argentina,Urbana,Total (15 años y más),2006,26,337,ARG,61.43
Ambos sexos,Argentina,Urbana,15 a 24 años,2006,26,337,ARG,45.17
Ambos sexos,Argentina,Urbana,25 a 34 años,2006,26,337,ARG,79.8
Ambos sexos,Argentina,Urbana,35 a 44 años,2006,26,337,ARG,81.88
Ambos sexos,Argentina,Urbana,45 a 59 años,2006,26,337,ARG,75.87
Ambos sexos,Argentina,Urbana,60 años y más,2006,26,337,ARG,28.83
Hombres,Argentina,Urbana,Total (15 años y más),2006,26,337,ARG,74.97
Hombres,Argentina,Urbana,15 a 24 años,2006,26,337,ARG,52.44
Hombres,Argentina,Urbana,25 a 34 años,2006,26,337,ARG,93.49
Hombres,Argentina,Urbana,35 a 44 años,2006,26,337,ARG,97.08
Hombres,Argentina,Urbana,45 a 59 años,2006,26,337,ARG,91.37
Hombres,Argentina,Urbana,60 años y más,2006,26,337,ARG,43.56
Mujeres,Argentina,Urbana,Total (15 años y más),2006,26,337,ARG,49.61
Mujeres,Argentina,Urbana,15 a 24 años,2006,26,337,ARG,37.9
Mujeres,Argentina,Urbana,25 a 34 años,2006,26,337,ARG,67
Mujeres,Argentina,Urbana,35 a 44 años,2006,26,337,ARG,68.56
Mujeres,Argentina,Urbana,45 a 59 años,2006,26,337,ARG,62.35
Mujeres,Argentina,Urbana,60 años y más,2006,26,337,ARG,18.76
Ambos sexos,Argentina,Urbana,Total (15 años y más),2007,26,337,ARG,60.3
Ambos sexos,Argentina,Urbana,15 a 24 años,2007,26,337,ARG,43.48
Ambos sexos,Argentina,Urbana,25 a 34 años,2007,26,337,ARG,79.27
Ambos sexos,Argentina,Urbana,35 a 44 años,2007,26,337,ARG,80.83
Ambos sexos,Argentina,Urbana,45 a 59 años,2007,26,337,ARG,75.41
Ambos sexos,Argentina,Urbana,60 años y más,2007,26,337,ARG,26.19
Hombres,Argentina,Urbana,Total (15 años y más),2007,26,337,ARG,73.97
Hombres,Argentina,Urbana,15 a 24 años,2007,26,337,ARG,50.64
Hombres,Argentina,Urbana,25 a 34 años,2007,26,337,ARG,92.88
Hombres,Argentina,Urbana,35 a 44 años,2007,26,337,ARG,96.49
Hombres,Argentina,Urbana,45 a 59 años,2007,26,337,ARG,92.01
Hombres,Argentina,Urbana,60 años y más,2007,26,337,ARG,41.26
Mujeres,Argentina,Urbana,Total (15 años y más),2007,26,337,ARG,48.15
Mujeres,Argentina,Urbana,15 a 24 años,2007,26,337,ARG,36.11
Mujeres,Argentina,Urbana,25 a 34 años,2007,26,337,ARG,66.8
Mujeres,Argentina,Urbana,35 a 44 años,2007,26,337,ARG,66.94
Mujeres,Argentina,Urbana,45 a 59 años,2007,26,337,ARG,60.62
Mujeres,Argentina,Urbana,60 años y más,2007,26,337,ARG,15.41
Ambos sexos,Argentina,Urbana,Total (15 años y más),2008,26,337,ARG,60.85
Ambos sexos,Argentina,Urbana,15 a 24 años,2008,26,337,ARG,42.73
Ambos sexos,Argentina,Urbana,25 a 34 años,2008,26,337,ARG,79.82
Ambos sexos,Argentina,Urbana,35 a 44 años,2008,26,337,ARG,82.21
Ambos sexos,Argentina,Urbana,45 a 59 años,2008,26,337,ARG,76.87
Ambos sexos,Argentina,Urbana,60 años y más,2008,26,337,ARG,25.79
Hombres,Argentina,Urbana,Total (15 años y más),2008,26,337,ARG,74.19
Hombres,Argentina,Urbana,15 a 24 años,2008,26,337,ARG,50.66
Hombres,Argentina,Urbana,25 a 34 años,2008,26,337,ARG,92.28
Hombres,Argentina,Urbana,35 a 44 años,2008,26,337,ARG,95.83
Hombres,Argentina,Urbana,45 a 59 años,2008,26,337,ARG,93.05
Hombres,Argentina,Urbana,60 años y más,2008,26,337,ARG,40.45
Mujeres,Argentina,Urbana,Total (15 años y más),2008,26,337,ARG,49.01
Mujeres,Argentina,Urbana,15 a 24 años,2008,26,337,ARG,34.77
Mujeres,Argentina,Urbana,25 a 34 años,2008,26,337,ARG,68.3
Mujeres,Argentina,Urbana,35 a 44 años,2008,26,337,ARG,69.78
Mujeres,Argentina,Urbana,45 a 59 años,2008,26,337,ARG,62.48
Mujeres,Argentina,Urbana,60 años y más,2008,26,337,ARG,15.39
Ambos sexos,Argentina,Urbana,Total (15 años y más),2009,26,337,ARG,60.79
Ambos sexos,Argentina,Urbana,15 a 24 años,2009,26,337,ARG,41.23
Ambos sexos,Argentina,Urbana,25 a 34 años,2009,26,337,ARG,80.57
Ambos sexos,Argentina,Urbana,35 a 44 años,2009,26,337,ARG,82.57
Ambos sexos,Argentina,Urbana,45 a 59 años,2009,26,337,ARG,77.35
Ambos sexos,Argentina,Urbana,60 años y más,2009,26,337,ARG,26.21
Hombres,Argentina,Urbana,Total (15 años y más),2009,26,337,ARG,73.81
Hombres,Argentina,Urbana,15 a 24 años,2009,26,337,ARG,50.16
Hombres,Argentina,Urbana,25 a 34 años,2009,26,337,ARG,93.12
Hombres,Argentina,Urbana,35 a 44 años,2009,26,337,ARG,96.53
Hombres,Argentina,Urbana,45 a 59 años,2009,26,337,ARG,92.07
Hombres,Argentina,Urbana,60 años y más,2009,26,337,ARG,39.84
Mujeres,Argentina,Urbana,Total (15 años y más),2009,26,337,ARG,49.22
Mujeres,Argentina,Urbana,15 a 24 años,2009,26,337,ARG,32.02
Mujeres,Argentina,Urbana,25 a 34 años,2009,26,337,ARG,68.92
Mujeres,Argentina,Urbana,35 a 44 años,2009,26,337,ARG,70.24
Mujeres,Argentina,Urbana,45 a 59 años,2009,26,337,ARG,64.29
Mujeres,Argentina,Urbana,60 años y más,2009,26,337,ARG,16.44
Ambos sexos,Argentina,Urbana,Total (15 años y más),2010,26,337,ARG,59.98
Ambos sexos,Argentina,Urbana,15 a 24 años,2010,26,337,ARG,40.73
Ambos sexos,Argentina,Urbana,25 a 34 años,2010,26,337,ARG,79.87
Ambos sexos,Argentina,Urbana,35 a 44 años,2010,26,337,ARG,81.6
Ambos sexos,Argentina,Urbana,45 a 59 años,2010,26,337,ARG,76.75
Ambos sexos,Argentina,Urbana,60 años y más,2010,26,337,ARG,25.68
Hombres,Argentina,Urbana,Total (15 años y más),2010,26,337,ARG,74.22
Hombres,Argentina,Urbana,15 a 24 años,2010,26,337,ARG,49.73
Hombres,Argentina,Urbana,25 a 34 años,2010,26,337,ARG,93.96
Hombres,Argentina,Urbana,35 a 44 años,2010,26,337,ARG,96.3
Hombres,Argentina,Urbana,45 a 59 años,2010,26,337,ARG,92.5
Hombres,Argentina,Urbana,60 años y más,2010,26,337,ARG,40.83
Mujeres,Argentina,Urbana,Total (15 años y más),2010,26,337,ARG,47.37
Mujeres,Argentina,Urbana,15 a 24 años,2010,26,337,ARG,31.81
Mujeres,Argentina,Urbana,25 a 34 años,2010,26,337,ARG,66.74
Mujeres,Argentina,Urbana,35 a 44 años,2010,26,337,ARG,67.73
Mujeres,Argentina,Urbana,45 a 59 años,2010,26,337,ARG,62.96
Mujeres,Argentina,Urbana,60 años y más,2010,26,337,ARG,14.99
Ambos sexos,Argentina,Urbana,Total (15 años y más),2011,26,337,ARG,60.39
Ambos sexos,Argentina,Urbana,15 a 24 años,2011,26,337,ARG,39.93
Ambos sexos,Argentina,Urbana,25 a 34 años,2011,26,337,ARG,79.19
Ambos sexos,Argentina,Urbana,35 a 44 años,2011,26,337,ARG,82.67
Ambos sexos,Argentina,Urbana,45 a 59 años,2011,26,337,ARG,77.55
Ambos sexos,Argentina,Urbana,60 años y más,2011,26,337,ARG,26.58
Hombres,Argentina,Urbana,Total (15 años y más),2011,26,337,ARG,74.63
Hombres,Argentina,Urbana,15 a 24 años,2011,26,337,ARG,48.62
Hombres,Argentina,Urbana,25 a 34 años,2011,26,337,ARG,93.48
Hombres,Argentina,Urbana,35 a 44 años,2011,26,337,ARG,97.16
Hombres,Argentina,Urbana,45 a 59 años,2011,26,337,ARG,93.42
Hombres,Argentina,Urbana,60 años y más,2011,26,337,ARG,41.4
Mujeres,Argentina,Urbana,Total (15 años y más),2011,26,337,ARG,47.7
Mujeres,Argentina,Urbana,15 a 24 años,2011,26,337,ARG,31.22
Mujeres,Argentina,Urbana,25 a 34 años,2011,26,337,ARG,65.52
Mujeres,Argentina,Urbana,35 a 44 años,2011,26,337,ARG,69.74
Mujeres,Argentina,Urbana,45 a 59 años,2011,26,337,ARG,62.78
Mujeres,Argentina,Urbana,60 años y más,2011,26,337,ARG,16.32
Ambos sexos,Argentina,Urbana,Total (15 años y más),2012,26,337,ARG,60.43
Ambos sexos,Argentina,Urbana,15 a 24 años,2012,26,337,ARG,39.42
Ambos sexos,Argentina,Urbana,25 a 34 años,2012,26,337,ARG,80.31
Ambos sexos,Argentina,Urbana,35 a 44 años,2012,26,337,ARG,82.57
Ambos sexos,Argentina,Urbana,45 a 59 años,2012,26,337,ARG,77.04
Ambos sexos,Argentina,Urbana,60 años y más,2012,26,337,ARG,26.47
Hombres,Argentina,Urbana,Total (15 años y más),2012,26,337,ARG,74.3
Hombres,Argentina,Urbana,15 a 24 años,2012,26,337,ARG,49.36
Hombres,Argentina,Urbana,25 a 34 años,2012,26,337,ARG,93.29
Hombres,Argentina,Urbana,35 a 44 años,2012,26,337,ARG,97.19
Hombres,Argentina,Urbana,45 a 59 años,2012,26,337,ARG,91.94
Hombres,Argentina,Urbana,60 años y más,2012,26,337,ARG,41.17
Mujeres,Argentina,Urbana,Total (15 años y más),2012,26,337,ARG,47.97
Mujeres,Argentina,Urbana,15 a 24 años,2012,26,337,ARG,29.5
Mujeres,Argentina,Urbana,25 a 34 años,2012,26,337,ARG,67.75
Mujeres,Argentina,Urbana,35 a 44 años,2012,26,337,ARG,68.62
Mujeres,Argentina,Urbana,45 a 59 años,2012,26,337,ARG,64.39
Mujeres,Argentina,Urbana,60 años y más,2012,26,337,ARG,15.63
Ambos sexos,Argentina,Urbana,Total (15 años y más),2013,26,337,ARG,59.83
Ambos sexos,Argentina,Urbana,15 a 24 años,2013,26,337,ARG,39.57
Ambos sexos,Argentina,Urbana,25 a 34 años,2013,26,337,ARG,80.02
Ambos sexos,Argentina,Urbana,35 a 44 años,2013,26,337,ARG,81.68
Ambos sexos,Argentina,Urbana,45 a 59 años,2013,26,337,ARG,76.7
Ambos sexos,Argentina,Urbana,60 años y más,2013,26,337,ARG,25.72
Hombres,Argentina,Urbana,Total (15 años y más),2013,26,337,ARG,72.87
Hombres,Argentina,Urbana,15 a 24 años,2013,26,337,ARG,48.48
Hombres,Argentina,Urbana,25 a 34 años,2013,26,337,ARG,92.09
Hombres,Argentina,Urbana,35 a 44 años,2013,26,337,ARG,96.57
Hombres,Argentina,Urbana,45 a 59 años,2013,26,337,ARG,91.67
Hombres,Argentina,Urbana,60 años y más,2013,26,337,ARG,38.93
Mujeres,Argentina,Urbana,Total (15 años y más),2013,26,337,ARG,48.11
Mujeres,Argentina,Urbana,15 a 24 años,2013,26,337,ARG,30.5
Mujeres,Argentina,Urbana,25 a 34 años,2013,26,337,ARG,68.41
Mujeres,Argentina,Urbana,35 a 44 años,2013,26,337,ARG,67.95
Mujeres,Argentina,Urbana,45 a 59 años,2013,26,337,ARG,63.96
Mujeres,Argentina,Urbana,60 años y más,2013,26,337,ARG,15.84
Ambos sexos,Argentina,Urbana,Total (15 años y más),2014,26,337,ARG,59.85
Ambos sexos,Argentina,Urbana,15 a 24 años,2014,26,337,ARG,39.42
Ambos sexos,Argentina,Urbana,25 a 34 años,2014,26,337,ARG,79.55
Ambos sexos,Argentina,Urbana,35 a 44 años,2014,26,337,ARG,80.64
Ambos sexos,Argentina,Urbana,45 a 59 años,2014,26,337,ARG,76.72
Ambos sexos,Argentina,Urbana,60 años y más,2014,26,337,ARG,27.46
Hombres,Argentina,Urbana,Total (15 años y más),2014,26,337,ARG,72.33
Hombres,Argentina,Urbana,15 a 24 años,2014,26,337,ARG,46.54
Hombres,Argentina,Urbana,25 a 34 años,2014,26,337,ARG,92.46
Hombres,Argentina,Urbana,35 a 44 años,2014,26,337,ARG,94.73
Hombres,Argentina,Urbana,45 a 59 años,2014,26,337,ARG,91.42
Hombres,Argentina,Urbana,60 años y más,2014,26,337,ARG,41.49
Mujeres,Argentina,Urbana,Total (15 años y más),2014,26,337,ARG,48.62
Mujeres,Argentina,Urbana,15 a 24 años,2014,26,337,ARG,31.65
Mujeres,Argentina,Urbana,25 a 34 años,2014,26,337,ARG,67.09
Mujeres,Argentina,Urbana,35 a 44 años,2014,26,337,ARG,68.51
Mujeres,Argentina,Urbana,45 a 59 años,2014,26,337,ARG,63.86
Mujeres,Argentina,Urbana,60 años y más,2014,26,337,ARG,17.48
Ambos sexos,Argentina,Urbana,Total (15 años y más),2016,26,337,ARG,57.99
Ambos sexos,Argentina,Urbana,15 a 24 años,2016,26,337,ARG,37.62
Ambos sexos,Argentina,Urbana,25 a 34 años,2016,26,337,ARG,77.74
Ambos sexos,Argentina,Urbana,35 a 44 años,2016,26,337,ARG,83.21
Ambos sexos,Argentina,Urbana,45 a 59 años,2016,26,337,ARG,76.35
Ambos sexos,Argentina,Urbana,60 años y más,2016,26,337,ARG,25.63
Hombres,Argentina,Urbana,Total (15 años y más),2016,26,337,ARG,70.24
Hombres,Argentina,Urbana,15 a 24 años,2016,26,337,ARG,46
Hombres,Argentina,Urbana,25 a 34 años,2016,26,337,ARG,91.27
Hombres,Argentina,Urbana,35 a 44 años,2016,26,337,ARG,95.15
Hombres,Argentina,Urbana,45 a 59 años,2016,26,337,ARG,90.22
Hombres,Argentina,Urbana,60 años y más,2016,26,337,ARG,37.12
Mujeres,Argentina,Urbana,Total (15 años y más),2016,26,337,ARG,47.14
Mujeres,Argentina,Urbana,15 a 24 años,2016,26,337,ARG,28.81
Mujeres,Argentina,Urbana,25 a 34 años,2016,26,337,ARG,65.04
Mujeres,Argentina,Urbana,35 a 44 años,2016,26,337,ARG,72.22
Mujeres,Argentina,Urbana,45 a 59 años,2016,26,337,ARG,64.41
Mujeres,Argentina,Urbana,60 años y más,2016,26,337,ARG,17.33
Ambos sexos,Argentina,Urbana,Total (15 años y más),2017,26,337,ARG,59.19
Ambos sexos,Argentina,Urbana,15 a 24 años,2017,26,337,ARG,39.55
Ambos sexos,Argentina,Urbana,25 a 34 años,2017,26,337,ARG,80.17
Ambos sexos,Argentina,Urbana,35 a 44 años,2017,26,337,ARG,83.04
Ambos sexos,Argentina,Urbana,45 a 59 años,2017,26,337,ARG,78.19
Ambos sexos,Argentina,Urbana,60 años y más,2017,26,337,ARG,26.51
Hombres,Argentina,Urbana,Total (15 años y más),2017,26,337,ARG,71.32
Hombres,Argentina,Urbana,15 a 24 años,2017,26,337,ARG,46.81
Hombres,Argentina,Urbana,25 a 34 años,2017,26,337,ARG,92.52
Hombres,Argentina,Urbana,35 a 44 años,2017,26,337,ARG,95.26
Hombres,Argentina,Urbana,45 a 59 años,2017,26,337,ARG,91.82
Hombres,Argentina,Urbana,60 años y más,2017,26,337,ARG,39.17
Mujeres,Argentina,Urbana,Total (15 años y más),2017,26,337,ARG,48.43
Mujeres,Argentina,Urbana,15 a 24 años,2017,26,337,ARG,32.13
Mujeres,Argentina,Urbana,25 a 34 años,2017,26,337,ARG,68.28
Mujeres,Argentina,Urbana,35 a 44 años,2017,26,337,ARG,71.73
Mujeres,Argentina,Urbana,45 a 59 años,2017,26,337,ARG,66.52
Mujeres,Argentina,Urbana,60 años y más,2017,26,337,ARG,17.26
Ambos sexos,Argentina,Urbana,Total (15 años y más),2018,26,337,ARG,59.47
Ambos sexos,Argentina,Urbana,15 a 24 años,2018,26,337,ARG,39.5
Ambos sexos,Argentina,Urbana,25 a 34 años,2018,26,337,ARG,79.79
Ambos sexos,Argentina,Urbana,35 a 44 años,2018,26,337,ARG,84.37
Ambos sexos,Argentina,Urbana,45 a 59 años,2018,26,337,ARG,78.42
Ambos sexos,Argentina,Urbana,60 años y más,2018,26,337,ARG,26.18
Hombres,Argentina,Urbana,Total (15 años y más),2018,26,337,ARG,70.92
Hombres,Argentina,Urbana,15 a 24 años,2018,26,337,ARG,46.56
Hombres,Argentina,Urbana,25 a 34 años,2018,26,337,ARG,90.95
Hombres,Argentina,Urbana,35 a 44 años,2018,26,337,ARG,95.59
Hombres,Argentina,Urbana,45 a 59 años,2018,26,337,ARG,91.32
Hombres,Argentina,Urbana,60 años y más,2018,26,337,ARG,37.91
Mujeres,Argentina,Urbana,Total (15 años y más),2018,26,337,ARG,49.43
Mujeres,Argentina,Urbana,15 a 24 años,2018,26,337,ARG,32.38
Mujeres,Argentina,Urbana,25 a 34 años,2018,26,337,ARG,69.23
Mujeres,Argentina,Urbana,35 a 44 años,2018,26,337,ARG,74.2
Mujeres,Argentina,Urbana,45 a 59 años,2018,26,337,ARG,67.18
Mujeres,Argentina,Urbana,60 años y más,2018,26,337,ARG,17.84
Ambos sexos,Argentina,Urbana,Total (15 años y más),2019,26,337,ARG,60.08
Ambos sexos,Argentina,Urbana,15 a 24 años,2019,26,337,ARG,38.38
Ambos sexos,Argentina,Urbana,25 a 34 años,2019,26,337,ARG,79.81
Ambos sexos,Argentina,Urbana,35 a 44 años,2019,26,337,ARG,84.67
Ambos sexos,Argentina,Urbana,45 a 59 años,2019,26,337,ARG,78.98
Ambos sexos,Argentina,Urbana,60 años y más,2019,26,337,ARG,27.2
Hombres,Argentina,Urbana,Total (15 años y más),2019,26,337,ARG,70.83
Hombres,Argentina,Urbana,15 a 24 años,2019,26,337,ARG,43.44
Hombres,Argentina,Urbana,25 a 34 años,2019,26,337,ARG,90.87
Hombres,Argentina,Urbana,35 a 44 años,2019,26,337,ARG,94.12
Hombres,Argentina,Urbana,45 a 59 años,2019,26,337,ARG,90.86
Hombres,Argentina,Urbana,60 años y más,2019,26,337,ARG,40.1
Mujeres,Argentina,Urbana,Total (15 años y más),2019,26,337,ARG,50.43
Mujeres,Argentina,Urbana,15 a 24 años,2019,26,337,ARG,33.11
Mujeres,Argentina,Urbana,25 a 34 años,2019,26,337,ARG,69.48
Mujeres,Argentina,Urbana,35 a 44 años,2019,26,337,ARG,75.67
Mujeres,Argentina,Urbana,45 a 59 años,2019,26,337,ARG,68.22
Mujeres,Argentina,Urbana,60 años y más,2019,26,337,ARG,17.95
Ambos sexos,Bolivia (Estado Plurinacional de),Nacional,Total (15 años y más),2000,26,,BOL,70.28
Ambos sexos,Bolivia (Estado Plurinacional de),Nacional,15 a 24 años,2000,26,,BOL,51.55
Ambos sexos,Bolivia (Estado Plurinacional de),Nacional,25 a 34 años,2000,26,,BOL,81.42
Ambos sexos,Bolivia (Estado Plurinacional de),Nacional,35 a 44 años,2000,26,,BOL,85.37
Ambos sexos,Bolivia (Estado Plurinacional de),Nacional,45 a 59 años,2000,26,,BOL,82.57
Ambos sexos,Bolivia (Estado Plurinacional de),Nacional,60 años y más,2000,26,,BOL,57.76
Hombres,Bolivia (Estado Plurinacional de),Nacional,Total (15 años y más),2000,26,,BOL,82.13
Hombres,Bolivia (Estado Plurinacional de),Nacional,15 a 24 años,2000,26,,BOL,59.97
Hombres,Bolivia (Estado Plurinacional de),Nacional,25 a 34 años,2000,26,,BOL,93.94
Hombres,Bolivia (Estado Plurinacional de),Nacional,35 a 44 años,2000,26,,BOL,98.54
