Sexo,País,Ocupados baja productividad,Años,id_fuente,ids_notas,iso3,valor
Mujeres,Paraguay,Total ocupados baja productividad,2001,26,9572,PRY,66.7
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2011,26,,BOL,66.6
Mujeres,Paraguay,Total ocupados baja productividad,2005,26,337,PRY,66.1
Mujeres,Paraguay,Total ocupados baja productividad,2006,26,337,PRY,65.9
Mujeres,Perú,Total ocupados baja productividad,2019,26,8649,PER,65.9
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2009,26,,BOL,65.8
Mujeres,Paraguay,Total ocupados baja productividad,2007,26,337,PRY,65.7
Mujeres,Perú,Total ocupados baja productividad,2011,26,8649,PER,65.5
Mujeres,Perú,Total ocupados baja productividad,2017,26,8649,PER,65.4
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2002,26,,BOL,65.3
Mujeres,Perú,Total ocupados baja productividad,2018,26,8649,PER,65.3
Mujeres,Guatemala,Total ocupados baja productividad,2014,26,,GTM,65
Mujeres,Paraguay,Total ocupados baja productividad,2009,26,337,PRY,65
Mujeres,Perú,Total ocupados baja productividad,2013,26,8649,PER,64.7
Mujeres,Ecuador,Total ocupados baja productividad,2018,26,,ECU,64.5
Mujeres,El Salvador,Total ocupados baja productividad,2017,26,,SLV,64.5
Mujeres,El Salvador,Total ocupados baja productividad,2016,26,,SLV,64.3
Mujeres,Ecuador,Total ocupados baja productividad,2019,26,,ECU,64.2
Mujeres,Perú,Total ocupados baja productividad,2012,26,8649,PER,64.2
Ambos sexos,Perú,Total ocupados baja productividad,2000,26,8647,PER,64.1
Mujeres,Perú,Total ocupados baja productividad,2015,26,8649,PER,64.1
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2019,26,,BOL,64
Mujeres,Ecuador,Total ocupados baja productividad,2017,26,,ECU,64
Mujeres,Ecuador,Total ocupados baja productividad,2016,26,,ECU,63.9
Mujeres,Perú,Total ocupados baja productividad,2014,26,8649,PER,63.9
Mujeres,Perú,Total ocupados baja productividad,2016,26,8649,PER,63.9
Mujeres,Ecuador,Total ocupados baja productividad,2007,26,,ECU,63.8
Mujeres,El Salvador,Total ocupados baja productividad,2019,26,,SLV,63.7
Mujeres,Honduras,Total ocupados baja productividad,2018,26,8615,HND,63.7
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2015,26,,BOL,63.6
Mujeres,El Salvador,Total ocupados baja productividad,2009,26,,SLV,63.6
Ambos sexos,Paraguay,Total ocupados baja productividad,2004,26,9572,PRY,63.6
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2005,26,,BOL,63.5
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2016,26,,BOL,63.5
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2017,26,,BOL,63.5
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2004,26,,BOL,63.4
Mujeres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2013,26,,BOL,63.4
Mujeres,Ecuador,Total ocupados baja productividad,2005,26,,ECU,63.3
Mujeres,Ecuador,Total ocupados baja productividad,2008,26,,ECU,63.2
Mujeres,Honduras,Total ocupados baja productividad,2013,26,355,HND,63.2
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2018,26,,BOL,63.1
Mujeres,El Salvador,Total ocupados baja productividad,2013,26,,SLV,63.1
Mujeres,El Salvador,Total ocupados baja productividad,2012,26,,SLV,62.9
Ambos sexos,Perú,Total ocupados baja productividad,2003,26,8648,PER,62.9
Ambos sexos,Perú,Total ocupados baja productividad,2004,26,8649,PER,62.9
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2001,26,,BOL,62.7
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2008,26,,BOL,62.7
Mujeres,Colombia,Total ocupados baja productividad,2011,26,8611,COL,62.7
Mujeres,Ecuador,Total ocupados baja productividad,2006,26,,ECU,62.7
Mujeres,Colombia,Total ocupados baja productividad,2012,26,8611,COL,62.6
Mujeres,Ecuador,Total ocupados baja productividad,2014,26,,ECU,62.6
Mujeres,Ecuador,Total ocupados baja productividad,2009,26,,ECU,62.5
Ambos sexos,Perú,Total ocupados baja productividad,2005,26,8649,PER,62.5
Mujeres,Colombia,Total ocupados baja productividad,2010,26,8611,COL,62.4
Ambos sexos,Paraguay,Total ocupados baja productividad,2003,26,9572,PRY,62.4
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2000,26,,BOL,62.2
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2014,26,,BOL,62.2
Mujeres,El Salvador,Total ocupados baja productividad,2004,26,,SLV,62.2
Mujeres,Guatemala,Total ocupados baja productividad,2006,26,,GTM,62.2
Mujeres,Colombia,Total ocupados baja productividad,2009,26,8611,COL,62.1
Mujeres,Paraguay,Total ocupados baja productividad,2008,26,337,PRY,62.1
Ambos sexos,Perú,Total ocupados baja productividad,2001,26,8647,PER,62.1
Mujeres,Ecuador,Total ocupados baja productividad,2001,26,,ECU,61.9
Mujeres,El Salvador,Total ocupados baja productividad,2010,26,,SLV,61.9
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2012,26,,BOL,61.6
Mujeres,El Salvador,Total ocupados baja productividad,2015,26,,SLV,61.6
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2007,26,,BOL,61.4
Mujeres,El Salvador,Total ocupados baja productividad,2001,26,,SLV,61.4
Mujeres,El Salvador,Total ocupados baja productividad,2018,26,,SLV,61.4
Mujeres,El Salvador,Total ocupados baja productividad,2005,26,,SLV,61.3
Mujeres,El Salvador,Total ocupados baja productividad,2007,26,,SLV,61.3
Mujeres,El Salvador,Total ocupados baja productividad,2014,26,,SLV,61.3
Mujeres,Paraguay,Total ocupados baja productividad,2010,26,337,PRY,61.2
Ambos sexos,Perú,Total ocupados baja productividad,2006,26,8649,PER,61.2
Mujeres,Ecuador,Total ocupados baja productividad,2003,26,,ECU,61
Ambos sexos,Perú,Total ocupados baja productividad,2002,26,8647,PER,60.9
Mujeres,Colombia,Total ocupados baja productividad,2013,26,8611,COL,60.8
Mujeres,El Salvador,Total ocupados baja productividad,2002,26,,SLV,60.8
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2015,26,,BOL,60.7
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2016,26,,BOL,60.7
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2019,26,,BOL,60.7
Mujeres,Paraguay,Total ocupados baja productividad,2012,26,337,PRY,60.7
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2006,26,,BOL,60.6
Mujeres,El Salvador,Total ocupados baja productividad,2006,26,,SLV,60.6
Mujeres,Colombia,Total ocupados baja productividad,2008,26,8611,COL,60.5
Mujeres,Ecuador,Total ocupados baja productividad,2015,26,,ECU,60.5
Mujeres,El Salvador,Total ocupados baja productividad,2000,26,,SLV,60.5
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2017,26,,BOL,60.4
Ambos sexos,Paraguay,Total ocupados baja productividad,2002,26,9572,PRY,60.4
Ambos sexos,Ecuador,Total ocupados baja productividad,2019,26,,ECU,60.3
Mujeres,Honduras,Total ocupados baja productividad,2012,26,355,HND,60.3
Ambos sexos,Paraguay,Total ocupados baja productividad,2005,26,337,PRY,60.3
Mujeres,Ecuador,Total ocupados baja productividad,2011,26,,ECU,60.2
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2018,26,,BOL,60.1
Mujeres,Honduras,Total ocupados baja productividad,2015,26,8615,HND,60.1
Hombres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2003,26,,VEN,60.1
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2011,26,,BOL,59.9
Ambos sexos,Colombia,Total ocupados baja productividad,2009,26,8611,COL,59.9
Ambos sexos,Colombia,Total ocupados baja productividad,2011,26,8611,COL,59.9
Ambos sexos,Paraguay,Total ocupados baja productividad,2006,26,337,PRY,59.9
Ambos sexos,Perú,Total ocupados baja productividad,2007,26,8649,PER,59.9
Mujeres,El Salvador,Total ocupados baja productividad,2003,26,,SLV,59.8
Ambos sexos,Honduras,Total ocupados baja productividad,2013,26,355,HND,59.8
Mujeres,Honduras,Total ocupados baja productividad,2014,26,8615,HND,59.7
Ambos sexos,Colombia,Total ocupados baja productividad,2010,26,8611,COL,59.6
Ambos sexos,Perú,Total ocupados baja productividad,2008,26,8649,PER,59.6
Ambos sexos,Ecuador,Total ocupados baja productividad,2018,26,,ECU,59.5
Ambos sexos,Perú,Total ocupados baja productividad,2019,26,8649,PER,59.5
Ambos sexos,Venezuela (República Bolivariana de),Total ocupados baja productividad,2003,26,,VEN,59.5
Ambos sexos,Paraguay,Total ocupados baja productividad,2001,26,9572,PRY,59.4
Mujeres,Paraguay,Total ocupados baja productividad,2011,26,337,PRY,59.4
Mujeres,Paraguay,Total ocupados baja productividad,2017,26,,PRY,59.4
Mujeres,Colombia,Total ocupados baja productividad,2014,26,8611,COL,59.2
Mujeres,Ecuador,Total ocupados baja productividad,2010,26,,ECU,59.2
Ambos sexos,Perú,Total ocupados baja productividad,2018,26,8649,PER,59.2
Ambos sexos,Perú,Total ocupados baja productividad,2010,26,8649,PER,59.1
Ambos sexos,Perú,Total ocupados baja productividad,2017,26,8649,PER,59.1
Ambos sexos,Honduras,Total ocupados baja productividad,2014,26,8615,HND,59
Ambos sexos,Paraguay,Total ocupados baja productividad,2007,26,337,PRY,59
Ambos sexos,Colombia,Total ocupados baja productividad,2012,26,8611,COL,58.9
Mujeres,Colombia,Total ocupados baja productividad,2015,26,8611,COL,58.9
Mujeres,Honduras,Total ocupados baja productividad,2019,26,8615,HND,58.9
Mujeres,Ecuador,Total ocupados baja productividad,2013,26,,ECU,58.8
Ambos sexos,Ecuador,Total ocupados baja productividad,2017,26,,ECU,58.7
Ambos sexos,Colombia,Total ocupados baja productividad,2008,26,8611,COL,58.6
Hombres,Honduras,Total ocupados baja productividad,2014,26,8615,HND,58.6
Ambos sexos,Perú,Total ocupados baja productividad,2011,26,8649,PER,58.5
Hombres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2002,26,,VEN,58.5
Mujeres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2003,26,,VEN,58.5
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2009,26,,BOL,58.4
Ambos sexos,Ecuador,Total ocupados baja productividad,2016,26,,ECU,58.4
Ambos sexos,Perú,Total ocupados baja productividad,2009,26,8649,PER,58.4
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2014,26,,BOL,58.3
Ambos sexos,Honduras,Total ocupados baja productividad,2018,26,8615,HND,58.2
Ambos sexos,Perú,Total ocupados baja productividad,2016,26,8649,PER,58.2
Hombres,Colombia,Total ocupados baja productividad,2009,26,8611,COL,58.1
Hombres,Paraguay,Total ocupados baja productividad,2004,26,9572,PRY,58.1
Hombres,Perú,Total ocupados baja productividad,2000,26,8647,PER,58.1
Ambos sexos,Venezuela (República Bolivariana de),Total ocupados baja productividad,2002,26,,VEN,58.1
Mujeres,Ecuador,Total ocupados baja productividad,2012,26,,ECU,58
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2008,26,,BOL,57.9
Ambos sexos,Paraguay,Total ocupados baja productividad,2009,26,337,PRY,57.9
Ambos sexos,Colombia,Total ocupados baja productividad,2013,26,8611,COL,57.7
Ambos sexos,Honduras,Total ocupados baja productividad,2012,26,355,HND,57.7
Hombres,Paraguay,Total ocupados baja productividad,2003,26,9572,PRY,57.7
Ambos sexos,Perú,Total ocupados baja productividad,2015,26,8649,PER,57.7
Ambos sexos,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2013,26,,BOL,57.6
Hombres,Colombia,Total ocupados baja productividad,2011,26,8611,COL,57.6
Mujeres,Colombia,Total ocupados baja productividad,2016,26,8611,COL,57.6
Hombres,Ecuador,Total ocupados baja productividad,2019,26,,ECU,57.6
Ambos sexos,Honduras,Total ocupados baja productividad,2015,26,8615,HND,57.6
Mujeres,Paraguay,Total ocupados baja productividad,2013,26,337,PRY,57.6
Mujeres,Paraguay,Total ocupados baja productividad,2016,26,337,PRY,57.5
Hombres,Colombia,Total ocupados baja productividad,2010,26,8611,COL,57.4
Mujeres,Paraguay,Total ocupados baja productividad,2015,26,337,PRY,57.4
Mujeres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2002,26,,VEN,57.4
Hombres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2004,26,,VEN,57.4
Mujeres,Colombia,Total ocupados baja productividad,2017,26,8611,COL,57.3
Ambos sexos,Ecuador,Total ocupados baja productividad,2005,26,,ECU,57.3
Mujeres,Honduras,Total ocupados baja productividad,2010,26,355,HND,57.3
Mujeres,Honduras,Total ocupados baja productividad,2016,26,8615,HND,57.3
Mujeres,Paraguay,Total ocupados baja productividad,2018,26,,PRY,57.3
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2005,26,,BOL,57.2
Hombres,Colombia,Total ocupados baja productividad,2008,26,8611,COL,57.2
Mujeres,Paraguay,Total ocupados baja productividad,2014,26,337,PRY,57.1
Hombres,Perú,Total ocupados baja productividad,2003,26,8648,PER,57.1
Ambos sexos,Perú,Total ocupados baja productividad,2014,26,8649,PER,57.1
Mujeres,Colombia,Total ocupados baja productividad,2019,26,8611,COL,57
Ambos sexos,Guatemala,Total ocupados baja productividad,2014,26,,GTM,57
Mujeres,Honduras,Total ocupados baja productividad,2005,26,355,HND,57
Hombres,Honduras,Total ocupados baja productividad,2013,26,355,HND,57
Mujeres,Paraguay,Total ocupados baja productividad,2019,26,,PRY,57
Ambos sexos,Perú,Total ocupados baja productividad,2012,26,8649,PER,57
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2002,26,,BOL,56.9
Ambos sexos,Ecuador,Total ocupados baja productividad,2006,26,,ECU,56.9
Ambos sexos,Ecuador,Total ocupados baja productividad,2008,26,,ECU,56.9
Mujeres,Colombia,Total ocupados baja productividad,2018,26,8611,COL,56.8
Mujeres,Honduras,Total ocupados baja productividad,2011,26,355,HND,56.8
Ambos sexos,Perú,Total ocupados baja productividad,2013,26,8649,PER,56.8
Ambos sexos,Ecuador,Total ocupados baja productividad,2007,26,,ECU,56.7
Mujeres,Honduras,Total ocupados baja productividad,2001,26,355,HND,56.7
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2012,26,,BOL,56.6
Hombres,Perú,Total ocupados baja productividad,2004,26,8649,PER,56.5
Hombres,República Dominicana,Total ocupados baja productividad,2017,26,8619,DOM,56.5
Ambos sexos,Ecuador,Total ocupados baja productividad,2009,26,,ECU,56.4
Ambos sexos,Ecuador,Total ocupados baja productividad,2014,26,,ECU,56.4
Ambos sexos,El Salvador,Total ocupados baja productividad,2009,26,,SLV,56.4
Mujeres,Bolivia (Estado Plurinacional de),D. Trabajadores independientes no calificados: Total,2004,26,,BOL,56.3
Ambos sexos,Colombia,Total ocupados baja productividad,2014,26,8611,COL,56.3
Ambos sexos,Venezuela (República Bolivariana de),Total ocupados baja productividad,2004,26,,VEN,56.3
Ambos sexos,Colombia,Total ocupados baja productividad,2015,26,8611,COL,56.1
Mujeres,Bolivia (Estado Plurinacional de),D. Trabajadores independientes no calificados: Total,2002,26,,BOL,56
Hombres,Colombia,Total ocupados baja productividad,2012,26,8611,COL,56
Ambos sexos,Ecuador,Total ocupados baja productividad,2001,26,,ECU,56
Hombres,Perú,Total ocupados baja productividad,2005,26,8649,PER,56
Hombres,Ecuador,Total ocupados baja productividad,2018,26,,ECU,55.9
Ambos sexos,Honduras,Total ocupados baja productividad,2019,26,8615,HND,55.9
Ambos sexos,El Salvador,Total ocupados baja productividad,2017,26,,SLV,55.8
Hombres,Perú,Total ocupados baja productividad,2001,26,8647,PER,55.8
Ambos sexos,El Salvador,Total ocupados baja productividad,2012,26,,SLV,55.7
Mujeres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2001,26,,VEN,55.7
Hombres,Honduras,Total ocupados baja productividad,2012,26,355,HND,55.6
Hombres,Paraguay,Total ocupados baja productividad,2005,26,337,PRY,55.6
Ambos sexos,Venezuela (República Bolivariana de),Total ocupados baja productividad,2001,26,,VEN,55.6
Hombres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2001,26,,VEN,55.6
Ambos sexos,Colombia,Total ocupados baja productividad,2016,26,8611,COL,55.5
Ambos sexos,Colombia,Total ocupados baja productividad,2017,26,8611,COL,55.5
Ambos sexos,El Salvador,Total ocupados baja productividad,2016,26,,SLV,55.5
Ambos sexos,El Salvador,Total ocupados baja productividad,2019,26,,SLV,55.5
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2000,26,,BOL,55.4
Hombres,Honduras,Total ocupados baja productividad,2015,26,8615,HND,55.4
Hombres,Paraguay,Total ocupados baja productividad,2002,26,9572,PRY,55.4
Hombres,Paraguay,Total ocupados baja productividad,2006,26,337,PRY,55.4
Mujeres,Bolivia (Estado Plurinacional de),D. Trabajadores independientes no calificados: Total,2000,26,,BOL,55.3
Mujeres,México,Total ocupados baja productividad,2006,26,,MEX,55.3
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2007,26,,BOL,55.2
Hombres,Colombia,Total ocupados baja productividad,2013,26,8611,COL,55.2
Ambos sexos,Colombia,Total ocupados baja productividad,2018,26,8611,COL,55.2
Mujeres,América Latina (promedio simple),Total ocupados baja productividad,2003,26,"8620,7766",,55.1
Mujeres,América Latina (promedio simple),Total ocupados baja productividad,2004,26,"8620,7766",,55.1
Ambos sexos,Guatemala,Total ocupados baja productividad,2006,26,,GTM,55.1
Hombres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2000,26,,VEN,55.1
Ambos sexos,Ecuador,Total ocupados baja productividad,2011,26,,ECU,55
Ambos sexos,El Salvador,Total ocupados baja productividad,2005,26,,SLV,55
Hombres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2011,26,,VEN,55
Mujeres,América Latina (promedio simple),Total ocupados baja productividad,2002,26,"8620,7766",,54.9
Ambos sexos,Ecuador,Total ocupados baja productividad,2003,26,,ECU,54.9
Ambos sexos,Ecuador,Total ocupados baja productividad,2010,26,,ECU,54.9
Ambos sexos,Ecuador,Total ocupados baja productividad,2015,26,,ECU,54.9
Hombres,Ecuador,Total ocupados baja productividad,2017,26,,ECU,54.9
Ambos sexos,El Salvador,Total ocupados baja productividad,2010,26,,SLV,54.9
Hombres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2010,26,,VEN,54.9
Mujeres,Bolivia (Estado Plurinacional de),D. Trabajadores independientes no calificados: Total,2001,26,,BOL,54.8
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2011,26,,BOL,54.8
Hombres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2005,26,,VEN,54.8
Hombres,Perú,Total ocupados baja productividad,2002,26,8647,PER,54.7
Mujeres,América Latina (promedio simple),Total ocupados baja productividad,2001,26,"8620,7766",,54.6
Ambos sexos,Colombia,Total ocupados baja productividad,2019,26,8611,COL,54.6
Mujeres,Honduras,Total ocupados baja productividad,2004,26,355,HND,54.6
Hombres,República Dominicana,Total ocupados baja productividad,2018,26,8619,DOM,54.6
Mujeres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2004,26,,VEN,54.6
Hombres,Ecuador,Total ocupados baja productividad,2016,26,,ECU,54.5
Ambos sexos,El Salvador,Total ocupados baja productividad,2013,26,,SLV,54.5
Mujeres,América Latina (promedio simple),Total ocupados baja productividad,2005,26,"8620,7766",,54.4
Ambos sexos,El Salvador,Total ocupados baja productividad,2015,26,,SLV,54.4
Ambos sexos,República Dominicana,Total ocupados baja productividad,2017,26,8619,DOM,54.4
Hombres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2006,26,,VEN,54.3
Hombres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2009,26,,VEN,54.3
Ambos sexos,El Salvador,Total ocupados baja productividad,2004,26,,SLV,54.2
Hombres,Perú,Total ocupados baja productividad,2006,26,8649,PER,54.2
Hombres,República Dominicana,Total ocupados baja productividad,2016,26,8618,DOM,54.2
Ambos sexos,Venezuela (República Bolivariana de),Total ocupados baja productividad,2000,26,,VEN,54.2
Hombres,Colombia,Total ocupados baja productividad,2018,26,8611,COL,54
Ambos sexos,Ecuador,Total ocupados baja productividad,2012,26,,ECU,54
Ambos sexos,El Salvador,Total ocupados baja productividad,2002,26,,SLV,54
Ambos sexos,El Salvador,Total ocupados baja productividad,2018,26,,SLV,54
Ambos sexos,Honduras,Total ocupados baja productividad,2010,26,355,HND,54
Hombres,Perú,Total ocupados baja productividad,2019,26,8649,PER,54
Hombres,Colombia,Total ocupados baja productividad,2014,26,8611,COL,53.9
Hombres,Colombia,Total ocupados baja productividad,2017,26,8611,COL,53.9
Ambos sexos,Honduras,Total ocupados baja productividad,2016,26,8615,HND,53.9
Mujeres,México,Total ocupados baja productividad,2002,26,,MEX,53.9
Ambos sexos,Paraguay,Total ocupados baja productividad,2008,26,337,PRY,53.9
Hombres,Perú,Total ocupados baja productividad,2018,26,8649,PER,53.9
Hombres,Paraguay,Total ocupados baja productividad,2007,26,337,PRY,53.8
Ambos sexos,Paraguay,Total ocupados baja productividad,2010,26,337,PRY,53.8
Hombres,Bolivia (Estado Plurinacional de),Total ocupados baja productividad,2006,26,,BOL,53.7
Hombres,Colombia,Total ocupados baja productividad,2015,26,8611,COL,53.7
Hombres,Colombia,Total ocupados baja productividad,2016,26,8611,COL,53.7
Ambos sexos,Paraguay,Total ocupados baja productividad,2011,26,337,PRY,53.7
Hombres,Perú,Total ocupados baja productividad,2007,26,8649,PER,53.7
Hombres,República Dominicana,Total ocupados baja productividad,2012,26,8618,DOM,53.7
Ambos sexos,Venezuela (República Bolivariana de),Total ocupados baja productividad,2005,26,,VEN,53.7
Mujeres,América Latina (promedio simple),Total ocupados baja productividad,2006,26,"8620,7766",,53.6
Ambos sexos,El Salvador,Total ocupados baja productividad,2007,26,,SLV,53.6
Hombres,Paraguay,Total ocupados baja productividad,2001,26,9572,PRY,53.6
Hombres,Perú,Total ocupados baja productividad,2017,26,8649,PER,53.6
Hombres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2012,26,,VEN,53.6
Hombres,Venezuela (República Bolivariana de),Total ocupados baja productividad,2014,26,,VEN,53.6
Ambos sexos,Ecuador,Total ocupados baja productividad,2013,26,,ECU,53.5
Ambos sexos,El Salvador,Total ocupados baja productividad,2001,26,,SLV,53.5
Ambos sexos,El Salvador,Total ocupados baja productividad,2014,26,,SLV,53.5
Hombres,Honduras,Total ocupados baja productividad,2019,26,8615,HND,53.5
Hombres,Perú,Total ocupados baja productividad,2016,26,8649,PER,53.5
Hombres,Honduras,Total ocupados baja productividad,2018,26,8615,HND,53.4
Ambos sexos,Paraguay,Total ocupados baja productividad,2017,26,,PRY,53.4
Hombres,Ecuador,Total ocupados baja productividad,2005,26,,ECU,53.3
Ambos sexos,El Salvador,Total ocupados baja productividad,2006,26,,SLV,53.3
