País,Área geográfica,Años,id_fuente,ids_notas,iso3,valor
Brasil,Rural,2008,26,8608,BRA,13.5
Brasil,Urbana,2008,26,8608,BRA,16.5
Brasil,Nacional,2009,26,8608,BRA,17.4
Brasil,Rural,2009,26,8608,BRA,13.1
Brasil,Urbana,2009,26,8608,BRA,16.4
Brasil,Nacional,2011,26,8608,BRA,17.1
Brasil,Rural,2011,26,8608,BRA,13.9
Brasil,Urbana,2011,26,8608,BRA,15.6
Brasil,Nacional,2012,26,8608,BRA,16.8
Brasil,Rural,2012,26,8608,BRA,14.3
Brasil,Urbana,2012,26,8608,BRA,15.5
Brasil,Nacional,2013,26,8608,BRA,17
Brasil,Rural,2013,26,8608,BRA,14.9
Brasil,Urbana,2013,26,8608,BRA,15.8
Brasil,Nacional,2014,26,8608,BRA,15.3
Brasil,Rural,2014,26,8608,BRA,12.7
Brasil,Urbana,2014,26,8608,BRA,14.6
Brasil,Nacional,2015,26,8608,BRA,15.1
Brasil,Rural,2015,26,8608,BRA,12.1
Brasil,Urbana,2015,26,8608,BRA,14.3
Brasil,Nacional,2016,26,8609,BRA,17.4
Brasil,Rural,2016,26,8609,BRA,14.6
Brasil,Urbana,2016,26,8609,BRA,16.2
Brasil,Nacional,2017,26,8609,BRA,18.1
Brasil,Rural,2017,26,8609,BRA,15.4
Brasil,Urbana,2017,26,8609,BRA,16.9
Brasil,Nacional,2018,26,8609,BRA,18.8
Brasil,Rural,2018,26,8609,BRA,16.9
Brasil,Urbana,2018,26,8609,BRA,17.3
Chile,Nacional,2000,26,,CHL,15.1
Chile,Rural,2000,26,,CHL,11.2
Chile,Urbana,2000,26,,CHL,14.5
Chile,Nacional,2003,26,,CHL,15.2
Chile,Rural,2003,26,,CHL,10.8
Chile,Urbana,2003,26,,CHL,14.8
Chile,Nacional,2006,26,,CHL,13.2
Chile,Rural,2006,26,,CHL,10
Chile,Urbana,2006,26,,CHL,12.8
Chile,Nacional,2009,26,,CHL,12.6
Chile,Rural,2009,26,,CHL,8.7
Chile,Urbana,2009,26,,CHL,12.6
Chile,Nacional,2011,26,,CHL,11.7
Chile,Rural,2011,26,,CHL,8.4
Chile,Urbana,2011,26,,CHL,11.7
Chile,Nacional,2013,26,,CHL,11.3
Chile,Rural,2013,26,,CHL,7.8
Chile,Urbana,2013,26,,CHL,11.3
Chile,Nacional,2015,26,,CHL,10.4
Chile,Rural,2015,26,,CHL,7.5
Chile,Urbana,2015,26,,CHL,10.4
Chile,Nacional,2017,26,,CHL,10.5
Chile,Rural,2017,26,,CHL,8.3
Chile,Urbana,2017,26,,CHL,10.4
Colombia,Nacional,2002,26,8610,COL,26.8
Colombia,Rural,2002,26,8610,COL,21.3
Colombia,Urbana,2002,26,8610,COL,21.9
Colombia,Nacional,2003,26,8610,COL,23.1
Colombia,Rural,2003,26,8610,COL,16.7
Colombia,Urbana,2003,26,8610,COL,19.9
Colombia,Nacional,2004,26,8610,COL,22.8
Colombia,Rural,2004,26,8610,COL,13.3
Colombia,Urbana,2004,26,8610,COL,19.4
Colombia,Nacional,2005,26,8610,COL,21.9
Colombia,Rural,2005,26,8610,COL,14.1
Colombia,Urbana,2005,26,8610,COL,18.4
Colombia,Nacional,2008,26,8611,COL,27.9
Colombia,Rural,2008,26,8611,COL,19.6
Colombia,Urbana,2008,26,8611,COL,22.3
Colombia,Nacional,2009,26,8611,COL,23.6
Colombia,Rural,2009,26,8611,COL,15.6
Colombia,Urbana,2009,26,8611,COL,19.7
Colombia,Nacional,2010,26,8611,COL,23.6
Colombia,Rural,2010,26,8611,COL,15.9
Colombia,Urbana,2010,26,8611,COL,19.8
Colombia,Nacional,2011,26,8611,COL,21.7
Colombia,Rural,2011,26,8611,COL,14.4
Colombia,Urbana,2011,26,8611,COL,18.5
Colombia,Nacional,2012,26,8611,COL,20.9
Colombia,Rural,2012,26,8611,COL,15.1
Colombia,Urbana,2012,26,8611,COL,17.6
Colombia,Nacional,2013,26,8611,COL,21.1
Colombia,Rural,2013,26,8611,COL,13.7
Colombia,Urbana,2013,26,8611,COL,18
Colombia,Nacional,2014,26,8611,COL,21.1
Colombia,Rural,2014,26,8611,COL,14.8
Colombia,Urbana,2014,26,8611,COL,17.7
Colombia,Nacional,2015,26,8611,COL,19
Colombia,Rural,2015,26,8611,COL,13.7
Colombia,Urbana,2015,26,8611,COL,16.1
Colombia,Nacional,2016,26,8611,COL,18.5
Colombia,Rural,2016,26,8611,COL,13.5
Colombia,Urbana,2016,26,8611,COL,15.8
Colombia,Nacional,2017,26,8611,COL,17.4
Colombia,Rural,2017,26,8611,COL,13.1
Colombia,Urbana,2017,26,8611,COL,15.2
Colombia,Nacional,2018,26,8611,COL,18.3
Colombia,Rural,2018,26,8611,COL,12.9
Colombia,Urbana,2018,26,8611,COL,16
Costa Rica,Nacional,2000,26,8612,CRI,14.7
Costa Rica,Rural,2000,26,8612,CRI,13.5
Costa Rica,Urbana,2000,26,8612,CRI,12.1
Costa Rica,Nacional,2001,26,8612,CRI,16.7
Costa Rica,Rural,2001,26,8612,CRI,15
Costa Rica,Urbana,2001,26,8612,CRI,13.6
Costa Rica,Nacional,2002,26,8612,CRI,16.1
Costa Rica,Rural,2002,26,8612,CRI,15
Costa Rica,Urbana,2002,26,8612,CRI,13.2
Costa Rica,Nacional,2003,26,8612,CRI,15.1
Costa Rica,Rural,2003,26,8612,CRI,12.9
Costa Rica,Urbana,2003,26,8612,CRI,12.7
Costa Rica,Nacional,2004,26,8612,CRI,15.5
Costa Rica,Rural,2004,26,8612,CRI,12.7
Costa Rica,Urbana,2004,26,8612,CRI,13.4
Costa Rica,Nacional,2005,26,8612,CRI,14.5
Costa Rica,Rural,2005,26,8612,CRI,11.9
Costa Rica,Urbana,2005,26,8612,CRI,13
Costa Rica,Nacional,2006,26,8612,CRI,14.7
Costa Rica,Rural,2006,26,8612,CRI,12.4
Costa Rica,Urbana,2006,26,8612,CRI,13
Costa Rica,Nacional,2007,26,8612,CRI,15
Costa Rica,Rural,2007,26,8612,CRI,11.6
Costa Rica,Urbana,2007,26,8612,CRI,14.1
Costa Rica,Nacional,2008,26,8612,CRI,14.1
Costa Rica,Rural,2008,26,8612,CRI,11.8
Costa Rica,Urbana,2008,26,8612,CRI,12.9
Costa Rica,Nacional,2009,26,8612,CRI,16.6
Costa Rica,Rural,2009,26,8612,CRI,13.7
Costa Rica,Urbana,2009,26,8612,CRI,15.6
Costa Rica,Nacional,2010,26,8613,CRI,14.5
Costa Rica,Rural,2010,26,8613,CRI,13.5
Costa Rica,Urbana,2010,26,8613,CRI,12.5
Costa Rica,Nacional,2011,26,8613,CRI,15.9
Costa Rica,Rural,2011,26,8613,CRI,13
Costa Rica,Urbana,2011,26,8613,CRI,14.3
Costa Rica,Nacional,2012,26,8613,CRI,15.6
Costa Rica,Rural,2012,26,8613,CRI,13.4
Costa Rica,Urbana,2012,26,8613,CRI,13.5
Costa Rica,Nacional,2013,26,8613,CRI,15.9
Costa Rica,Rural,2013,26,8613,CRI,13.9
Costa Rica,Urbana,2013,26,8613,CRI,13.6
Costa Rica,Nacional,2014,26,8613,CRI,15.4
Costa Rica,Rural,2014,26,8613,CRI,14.1
Costa Rica,Urbana,2014,26,8613,CRI,13.7
Costa Rica,Nacional,2015,26,8613,CRI,15.7
Costa Rica,Rural,2015,26,8613,CRI,14.8
Costa Rica,Urbana,2015,26,8613,CRI,14.1
Costa Rica,Nacional,2016,26,8613,CRI,15.9
Costa Rica,Rural,2016,26,8613,CRI,13.8
Costa Rica,Urbana,2016,26,8613,CRI,14.4
Costa Rica,Nacional,2017,26,8613,CRI,15
Costa Rica,Rural,2017,26,8613,CRI,12.9
Costa Rica,Urbana,2017,26,8613,CRI,13.9
Costa Rica,Nacional,2018,26,8613,CRI,15
Costa Rica,Rural,2018,26,8613,CRI,13
Costa Rica,Urbana,2018,26,8613,CRI,13.8
Ecuador,Nacional,2001,26,,ECU,17.9
Ecuador,Rural,2001,26,,ECU,13.1
Ecuador,Urbana,2001,26,,ECU,16.8
Ecuador,Nacional,2003,26,,ECU,20.9
Ecuador,Rural,2003,26,,ECU,11.9
Ecuador,Urbana,2003,26,,ECU,20.2
Ecuador,Nacional,2005,26,,ECU,17
Ecuador,Rural,2005,26,,ECU,11.9
Ecuador,Urbana,2005,26,,ECU,14.9
Ecuador,Nacional,2006,26,,ECU,17.1
Ecuador,Rural,2006,26,,ECU,16.7
Ecuador,Urbana,2006,26,,ECU,14.1
Ecuador,Nacional,2007,26,,ECU,17.5
Ecuador,Rural,2007,26,,ECU,13.7
Ecuador,Urbana,2007,26,,ECU,14.5
Ecuador,Nacional,2008,26,,ECU,14.2
Ecuador,Rural,2008,26,,ECU,10.5
Ecuador,Urbana,2008,26,,ECU,12
Ecuador,Nacional,2009,26,,ECU,13.6
Ecuador,Rural,2009,26,,ECU,9.7
Ecuador,Urbana,2009,26,,ECU,12.5
Ecuador,Nacional,2010,26,,ECU,13.4
Ecuador,Rural,2010,26,,ECU,9.2
Ecuador,Urbana,2010,26,,ECU,12.3
Ecuador,Nacional,2011,26,,ECU,12
Ecuador,Rural,2011,26,,ECU,10
Ecuador,Urbana,2011,26,,ECU,10.2
Ecuador,Nacional,2012,26,,ECU,12.6
Ecuador,Rural,2012,26,,ECU,10.3
Ecuador,Urbana,2012,26,,ECU,10.4
Ecuador,Nacional,2013,26,,ECU,11.6
Ecuador,Rural,2013,26,,ECU,8.9
Ecuador,Urbana,2013,26,,ECU,10.9
Ecuador,Nacional,2014,26,,ECU,10.5
Ecuador,Rural,2014,26,,ECU,9.2
Ecuador,Urbana,2014,26,,ECU,9.9
Ecuador,Nacional,2015,26,,ECU,11.6
Ecuador,Rural,2015,26,,ECU,10.8
Ecuador,Urbana,2015,26,,ECU,10.3
Ecuador,Nacional,2016,26,,ECU,11.1
Ecuador,Rural,2016,26,,ECU,10.3
Ecuador,Urbana,2016,26,,ECU,10.1
Ecuador,Nacional,2017,26,,ECU,11
Ecuador,Rural,2017,26,,ECU,10.9
Ecuador,Urbana,2017,26,,ECU,9.5
Ecuador,Nacional,2018,26,,ECU,11.2
Ecuador,Rural,2018,26,,ECU,9.1
Ecuador,Urbana,2018,26,,ECU,10.4
El Salvador,Nacional,2000,26,,SLV,17.9
El Salvador,Rural,2000,26,,SLV,12
El Salvador,Urbana,2000,26,,SLV,13.5
El Salvador,Nacional,2001,26,,SLV,18.5
El Salvador,Rural,2001,26,,SLV,13.4
El Salvador,Urbana,2001,26,,SLV,14.1
El Salvador,Nacional,2002,26,,SLV,18.4
El Salvador,Rural,2002,26,,SLV,14.2
El Salvador,Urbana,2002,26,,SLV,14.3
El Salvador,Nacional,2003,26,,SLV,16.5
El Salvador,Rural,2003,26,,SLV,12.7
El Salvador,Urbana,2003,26,,SLV,12.7
El Salvador,Nacional,2004,26,,SLV,14.8
El Salvador,Rural,2004,26,,SLV,11.5
El Salvador,Urbana,2004,26,,SLV,12.2
El Salvador,Nacional,2005,26,,SLV,16.9
El Salvador,Rural,2005,26,,SLV,15.4
El Salvador,Urbana,2005,26,,SLV,12.5
El Salvador,Nacional,2006,26,,SLV,12.1
El Salvador,Rural,2006,26,,SLV,8.5
El Salvador,Urbana,2006,26,,SLV,10.4
El Salvador,Nacional,2007,26,,SLV,11.5
El Salvador,Rural,2007,26,,SLV,7.9
El Salvador,Urbana,2007,26,,SLV,9.9
El Salvador,Nacional,2009,26,,SLV,12.7
El Salvador,Rural,2009,26,,SLV,9.2
El Salvador,Urbana,2009,26,,SLV,10.7
El Salvador,Nacional,2010,26,,SLV,11.3
El Salvador,Rural,2010,26,,SLV,8.4
El Salvador,Urbana,2010,26,,SLV,9.6
El Salvador,Nacional,2012,26,,SLV,10.2
El Salvador,Rural,2012,26,,SLV,7.7
El Salvador,Urbana,2012,26,,SLV,8.8
El Salvador,Nacional,2013,26,,SLV,10.7
El Salvador,Rural,2013,26,,SLV,7.9
El Salvador,Urbana,2013,26,,SLV,9.4
El Salvador,Nacional,2014,26,,SLV,10
El Salvador,Rural,2014,26,,SLV,7.8
El Salvador,Urbana,2014,26,,SLV,8.6
El Salvador,Nacional,2015,26,,SLV,9.5
El Salvador,Rural,2015,26,,SLV,7.5
El Salvador,Urbana,2015,26,,SLV,8.4
El Salvador,Nacional,2016,26,,SLV,9.1
El Salvador,Rural,2016,26,,SLV,7.4
El Salvador,Urbana,2016,26,,SLV,7.9
El Salvador,Nacional,2017,26,,SLV,8.4
El Salvador,Rural,2017,26,,SLV,6.9
El Salvador,Urbana,2017,26,,SLV,7.5
El Salvador,Nacional,2018,26,,SLV,8.5
El Salvador,Rural,2018,26,,SLV,6.9
El Salvador,Urbana,2018,26,,SLV,7.5
Guatemala,Nacional,2000,26,,GTM,45.7
Guatemala,Rural,2000,26,,GTM,37.1
Guatemala,Urbana,2000,26,,GTM,22.4
Guatemala,Nacional,2006,26,,GTM,22.2
Guatemala,Rural,2006,26,,GTM,15.6
Guatemala,Urbana,2006,26,,GTM,15.1
Guatemala,Nacional,2014,26,,GTM,18
Guatemala,Rural,2014,26,,GTM,12.5
Guatemala,Urbana,2014,26,,GTM,14.5
Honduras,Nacional,2001,26,355,HND,18.6
Honduras,Rural,2001,26,355,HND,14.7
Honduras,Urbana,2001,26,355,HND,13
Honduras,Nacional,2004,26,355,HND,21.2
Honduras,Rural,2004,26,355,HND,16.3
Honduras,Urbana,2004,26,355,HND,15.6
Honduras,Nacional,2005,26,355,HND,23.6
Honduras,Rural,2005,26,355,HND,20.5
Honduras,Urbana,2005,26,355,HND,14.8
Honduras,Nacional,2009,26,355,HND,14.7
Honduras,Rural,2009,26,355,HND,11.5
Honduras,Urbana,2009,26,355,HND,10.6
Honduras,Nacional,2010,26,355,HND,15.7
Honduras,Rural,2010,26,355,HND,12.1
Honduras,Urbana,2010,26,355,HND,11.9
Honduras,Nacional,2011,26,355,HND,18.5
Honduras,Rural,2011,26,355,HND,16.7
Honduras,Urbana,2011,26,355,HND,14.4
Honduras,Nacional,2012,26,355,HND,18.3
Honduras,Rural,2012,26,355,HND,15.2
Honduras,Urbana,2012,26,355,HND,15.1
Honduras,Nacional,2013,26,355,HND,15.5
Honduras,Rural,2013,26,355,HND,12.5
Honduras,Urbana,2013,26,355,HND,12.4
Honduras,Nacional,2014,26,8615,HND,13.3
Honduras,Rural,2014,26,8615,HND,9.1
Honduras,Urbana,2014,26,8615,HND,12.1
Honduras,Nacional,2015,26,8615,HND,12.6
Honduras,Rural,2015,26,8615,HND,10.4
Honduras,Urbana,2015,26,8615,HND,10.9
Honduras,Nacional,2016,26,8615,HND,13.9
Honduras,Rural,2016,26,8615,HND,10.9
Honduras,Urbana,2016,26,8615,HND,11.6
Honduras,Nacional,2018,26,8615,HND,14.2
Honduras,Rural,2018,26,8615,HND,10.2
Honduras,Urbana,2018,26,8615,HND,10.5
México,Nacional,2000,26,,MEX,17.4
México,Rural,2000,26,,MEX,12.5
México,Urbana,2000,26,,MEX,13.4
México,Nacional,2002,26,,MEX,15
México,Rural,2002,26,,MEX,11.9
México,Urbana,2002,26,,MEX,12.1
México,Nacional,2004,26,,MEX,15
México,Rural,2004,26,,MEX,11.1
México,Urbana,2004,26,,MEX,13.1
México,Nacional,2006,26,,MEX,14.3
México,Rural,2006,26,,MEX,12.2
México,Urbana,2006,26,,MEX,12.7
México,Nacional,2008,26,,MEX,16.6
México,Rural,2008,26,,MEX,12.9
México,Urbana,2008,26,,MEX,13.7
México,Nacional,2010,26,,MEX,16.6
México,Rural,2010,26,,MEX,12.9
México,Urbana,2010,26,,MEX,13.7
México,Nacional,2012,26,,MEX,15.2
México,Rural,2012,26,,MEX,12.6
México,Urbana,2012,26,,MEX,13.1
México,Nacional,2014,26,,MEX,14.9
México,Rural,2014,26,,MEX,11.1
México,Urbana,2014,26,,MEX,13.2
México,Nacional,2016,26,,MEX,14.1
México,Rural,2016,26,,MEX,10.7
México,Urbana,2016,26,,MEX,12.4
México,Nacional,2018,26,,MEX,12.8
México,Rural,2018,26,,MEX,10.5
México,Urbana,2018,26,,MEX,11.2
Nicaragua,Nacional,2001,26,,NIC,23.8
Nicaragua,Rural,2001,26,,NIC,19.2
Nicaragua,Urbana,2001,26,,NIC,18.6
Nicaragua,Nacional,2005,26,,NIC,17.7
Nicaragua,Rural,2005,26,,NIC,15.1
Nicaragua,Urbana,2005,26,,NIC,13.3
Nicaragua,Nacional,2009,26,,NIC,12.8
Nicaragua,Rural,2009,26,,NIC,11
Nicaragua,Urbana,2009,26,,NIC,10.3
Nicaragua,Nacional,2014,26,,NIC,15.2
Nicaragua,Rural,2014,26,,NIC,11.6
Nicaragua,Urbana,2014,26,,NIC,11.6
Panamá,Nacional,2000,26,,PAN,26.2
Panamá,Rural,2000,26,,PAN,21.6
Panamá,Urbana,2000,26,,PAN,18.4
Panamá,Nacional,2001,26,,PAN,29.6
Panamá,Rural,2001,26,,PAN,25.9
Panamá,Urbana,2001,26,,PAN,18.2
Panamá,Nacional,2002,26,,PAN,26.8
Panamá,Rural,2002,26,,PAN,21.7
Panamá,Urbana,2002,26,,PAN,17.8
Panamá,Nacional,2003,26,,PAN,26.5
Panamá,Rural,2003,26,,PAN,21.1
Panamá,Urbana,2003,26,,PAN,17.3
Panamá,Nacional,2004,26,,PAN,25.1
Panamá,Rural,2004,26,,PAN,21.4
Panamá,Urbana,2004,26,,PAN,16.1
Panamá,Nacional,2005,26,,PAN,22.7
Panamá,Rural,2005,26,,PAN,19.1
Panamá,Urbana,2005,26,,PAN,15.1
Panamá,Nacional,2006,26,,PAN,25.8
Panamá,Rural,2006,26,,PAN,23.9
Panamá,Urbana,2006,26,,PAN,16.4
Panamá,Nacional,2007,26,,PAN,20.4
Panamá,Rural,2007,26,,PAN,19
Panamá,Urbana,2007,26,,PAN,13.9
Panamá,Nacional,2008,26,,PAN,18.5
Panamá,Rural,2008,26,,PAN,20
Panamá,Urbana,2008,26,,PAN,12.1
Panamá,Nacional,2009,26,,PAN,18.5
Panamá,Rural,2009,26,,PAN,15
Panamá,Urbana,2009,26,,PAN,13.1
Panamá,Nacional,2011,26,,PAN,17.9
Panamá,Rural,2011,26,,PAN,15.4
Panamá,Urbana,2011,26,,PAN,13.2
Panamá,Nacional,2013,26,,PAN,18
Panamá,Rural,2013,26,,PAN,16.3
Panamá,Urbana,2013,26,,PAN,12.5
Panamá,Nacional,2014,26,,PAN,16.9
Panamá,Rural,2014,26,,PAN,16.7
Panamá,Urbana,2014,26,,PAN,12
Panamá,Nacional,2015,26,,PAN,16.8
Panamá,Rural,2015,26,,PAN,14.5
Panamá,Urbana,2015,26,,PAN,12.5
Panamá,Nacional,2016,26,,PAN,16.3
Panamá,Rural,2016,26,,PAN,14.9
Panamá,Urbana,2016,26,,PAN,11.8
Panamá,Nacional,2017,26,,PAN,16.7
Panamá,Rural,2017,26,,PAN,15.6
Panamá,Urbana,2017,26,,PAN,12.6
Panamá,Nacional,2018,26,,PAN,15.3
Panamá,Rural,2018,26,,PAN,15.4
Panamá,Urbana,2018,26,,PAN,11.7
