País,Área geográfica,Servicios básicos_(EH),Años,id_fuente,ids_notas,iso3,valor
América Latina (promedio simple),Rural,Electricidad,2017,26,8620,,86.4
América Latina (promedio simple),Urbana,Agua,2017,26,8620,,90
América Latina (promedio simple),Urbana,Desague,2017,26,8620,,65
América Latina (promedio simple),Urbana,Electricidad,2017,26,8620,,98.7
América Latina (promedio simple),Nacional,Agua,2018,26,8620,,87.1
América Latina (promedio simple),Nacional,Desague,2018,26,8620,,63.1
América Latina (promedio simple),Nacional,Electricidad,2018,26,8620,,94.9
América Latina (promedio simple),Rural,Agua,2018,26,8620,,75.6
América Latina (promedio simple),Rural,Desague,2018,26,8620,,53.5
América Latina (promedio simple),Rural,Electricidad,2018,26,8620,,86.8
América Latina (promedio simple),Urbana,Agua,2018,26,8620,,90
América Latina (promedio simple),Urbana,Desague,2018,26,8620,,67.5
América Latina (promedio simple),Urbana,Electricidad,2018,26,8620,,98.7
América Latina (promedio simple),Nacional,Agua,2019,26,8620,,87.3
América Latina (promedio simple),Nacional,Desague,2019,26,8620,,61.7
América Latina (promedio simple),Nacional,Electricidad,2019,26,8620,,95.1
América Latina (promedio simple),Rural,Agua,2019,26,8620,,76.2
América Latina (promedio simple),Rural,Desague,2019,26,8620,,52.9
América Latina (promedio simple),Rural,Electricidad,2019,26,8620,,87.5
América Latina (promedio simple),Urbana,Agua,2019,26,8620,,90
América Latina (promedio simple),Urbana,Desague,2019,26,8620,,65.4
América Latina (promedio simple),Urbana,Electricidad,2019,26,8620,,98.7
Argentina,Urbana,Agua,2000,26,923,ARG,98.5
Argentina,Urbana,Desague,2000,26,923,ARG,59.9
Argentina,Urbana,Electricidad,2000,26,923,ARG,99.5
Argentina,Urbana,Agua,2001,26,923,ARG,98.7
Argentina,Urbana,Desague,2001,26,923,ARG,60.6
Argentina,Urbana,Electricidad,2001,26,923,ARG,99.6
Argentina,Urbana,Agua,2002,26,923,ARG,98.6
Argentina,Urbana,Desague,2002,26,923,ARG,61
Argentina,Urbana,Electricidad,2002,26,923,ARG,99.6
Argentina,Urbana,Agua,2003,26,337,ARG,98.9
Argentina,Urbana,Desague,2003,26,337,ARG,62.3
Argentina,Urbana,Agua,2004,26,337,ARG,99.1
Argentina,Urbana,Desague,2004,26,337,ARG,62.9
Argentina,Urbana,Agua,2005,26,337,ARG,98.9
Argentina,Urbana,Desague,2005,26,337,ARG,63
Argentina,Urbana,Agua,2006,26,337,ARG,99.1
Argentina,Urbana,Desague,2006,26,337,ARG,64.1
Argentina,Urbana,Agua,2007,26,337,ARG,99.4
Argentina,Urbana,Desague,2007,26,337,ARG,64.6
Argentina,Urbana,Agua,2008,26,337,ARG,99.5
Argentina,Urbana,Desague,2008,26,337,ARG,65.1
Argentina,Urbana,Agua,2009,26,337,ARG,99.5
Argentina,Urbana,Desague,2009,26,337,ARG,65.1
Argentina,Urbana,Agua,2010,26,337,ARG,99.4
Argentina,Urbana,Desague,2010,26,337,ARG,65.6
Argentina,Urbana,Agua,2011,26,337,ARG,99.6
Argentina,Urbana,Desague,2011,26,337,ARG,67.2
Argentina,Urbana,Agua,2012,26,337,ARG,99.8
Argentina,Urbana,Desague,2012,26,337,ARG,68
Argentina,Urbana,Agua,2013,26,337,ARG,99.8
Argentina,Urbana,Desague,2013,26,337,ARG,69.3
Argentina,Urbana,Agua,2014,26,337,ARG,99.7
Argentina,Urbana,Desague,2014,26,337,ARG,69.1
Argentina,Urbana,Agua,2016,26,337,ARG,99.8
Argentina,Urbana,Desague,2016,26,337,ARG,70.3
Argentina,Urbana,Agua,2017,26,337,ARG,99.8
Argentina,Urbana,Desague,2017,26,337,ARG,70.4
Argentina,Urbana,Agua,2018,26,337,ARG,99.8
Argentina,Urbana,Desague,2018,26,337,ARG,70.4
Argentina,Urbana,Agua,2019,26,337,ARG,99.8
Argentina,Urbana,Desague,2019,26,337,ARG,70.8
Bolivia (Estado Plurinacional de),Nacional,Agua,2000,26,,BOL,74.4
Bolivia (Estado Plurinacional de),Nacional,Desague,2000,26,,BOL,36.1
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2000,26,,BOL,70
Bolivia (Estado Plurinacional de),Rural,Agua,2000,26,,BOL,47.2
Bolivia (Estado Plurinacional de),Rural,Desague,2000,26,,BOL,6.6
Bolivia (Estado Plurinacional de),Rural,Electricidad,2000,26,,BOL,24.9
Bolivia (Estado Plurinacional de),Urbana,Agua,2000,26,,BOL,90
Bolivia (Estado Plurinacional de),Urbana,Desague,2000,26,,BOL,53.1
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2000,26,,BOL,95.8
Bolivia (Estado Plurinacional de),Nacional,Agua,2001,26,,BOL,73.2
Bolivia (Estado Plurinacional de),Nacional,Desague,2001,26,,BOL,32.5
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2001,26,,BOL,69.3
Bolivia (Estado Plurinacional de),Rural,Agua,2001,26,,BOL,50.1
Bolivia (Estado Plurinacional de),Rural,Desague,2001,26,,BOL,6.4
Bolivia (Estado Plurinacional de),Rural,Electricidad,2001,26,,BOL,28.4
Bolivia (Estado Plurinacional de),Urbana,Agua,2001,26,,BOL,87.2
Bolivia (Estado Plurinacional de),Urbana,Desague,2001,26,,BOL,48.4
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2001,26,,BOL,94.2
Bolivia (Estado Plurinacional de),Nacional,Agua,2002,26,,BOL,70.4
Bolivia (Estado Plurinacional de),Nacional,Desague,2002,26,,BOL,32.4
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2002,26,,BOL,64
Bolivia (Estado Plurinacional de),Rural,Agua,2002,26,,BOL,43
Bolivia (Estado Plurinacional de),Rural,Desague,2002,26,,BOL,6.1
Bolivia (Estado Plurinacional de),Rural,Electricidad,2002,26,,BOL,23
Bolivia (Estado Plurinacional de),Urbana,Agua,2002,26,,BOL,86.9
Bolivia (Estado Plurinacional de),Urbana,Desague,2002,26,,BOL,48.2
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2002,26,,BOL,88.6
Bolivia (Estado Plurinacional de),Nacional,Agua,2004,26,,BOL,71.1
Bolivia (Estado Plurinacional de),Nacional,Desague,2004,26,,BOL,32.9
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2004,26,,BOL,66.5
Bolivia (Estado Plurinacional de),Rural,Agua,2004,26,,BOL,47.5
Bolivia (Estado Plurinacional de),Rural,Desague,2004,26,,BOL,6
Bolivia (Estado Plurinacional de),Rural,Electricidad,2004,26,,BOL,29.1
Bolivia (Estado Plurinacional de),Urbana,Agua,2004,26,,BOL,86.3
Bolivia (Estado Plurinacional de),Urbana,Desague,2004,26,,BOL,50.3
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2004,26,,BOL,90.7
Bolivia (Estado Plurinacional de),Nacional,Agua,2005,26,,BOL,74.8
Bolivia (Estado Plurinacional de),Nacional,Desague,2005,26,,BOL,37.8
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2005,26,,BOL,68.3
Bolivia (Estado Plurinacional de),Rural,Agua,2005,26,,BOL,48.5
Bolivia (Estado Plurinacional de),Rural,Desague,2005,26,,BOL,6.2
Bolivia (Estado Plurinacional de),Rural,Electricidad,2005,26,,BOL,28.9
Bolivia (Estado Plurinacional de),Urbana,Agua,2005,26,,BOL,89.2
Bolivia (Estado Plurinacional de),Urbana,Desague,2005,26,,BOL,55.2
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2005,26,,BOL,89.9
Bolivia (Estado Plurinacional de),Nacional,Agua,2006,26,,BOL,76.9
Bolivia (Estado Plurinacional de),Nacional,Desague,2006,26,,BOL,33.9
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2006,26,,BOL,76.2
Bolivia (Estado Plurinacional de),Rural,Agua,2006,26,,BOL,51.6
Bolivia (Estado Plurinacional de),Rural,Desague,2006,26,,BOL,7.9
Bolivia (Estado Plurinacional de),Rural,Electricidad,2006,26,,BOL,44
Bolivia (Estado Plurinacional de),Urbana,Agua,2006,26,,BOL,91.8
Bolivia (Estado Plurinacional de),Urbana,Desague,2006,26,,BOL,49.2
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2006,26,,BOL,95.2
Bolivia (Estado Plurinacional de),Nacional,Agua,2007,26,,BOL,79.6
Bolivia (Estado Plurinacional de),Nacional,Desague,2007,26,,BOL,40.4
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2007,26,,BOL,80.2
Bolivia (Estado Plurinacional de),Rural,Agua,2007,26,,BOL,51.1
Bolivia (Estado Plurinacional de),Rural,Desague,2007,26,,BOL,11.6
Bolivia (Estado Plurinacional de),Rural,Electricidad,2007,26,,BOL,46.6
Bolivia (Estado Plurinacional de),Urbana,Agua,2007,26,,BOL,94.8
Bolivia (Estado Plurinacional de),Urbana,Desague,2007,26,,BOL,55.8
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2007,26,,BOL,98.2
Bolivia (Estado Plurinacional de),Nacional,Agua,2008,26,,BOL,75.4
Bolivia (Estado Plurinacional de),Nacional,Desague,2008,26,,BOL,47.1
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2008,26,,BOL,84.7
Bolivia (Estado Plurinacional de),Rural,Agua,2008,26,,BOL,44.5
Bolivia (Estado Plurinacional de),Rural,Desague,2008,26,,BOL,9.3
Bolivia (Estado Plurinacional de),Rural,Electricidad,2008,26,,BOL,56.1
Bolivia (Estado Plurinacional de),Urbana,Agua,2008,26,,BOL,91.1
Bolivia (Estado Plurinacional de),Urbana,Desague,2008,26,,BOL,66.4
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2008,26,,BOL,99.2
Bolivia (Estado Plurinacional de),Nacional,Agua,2009,26,,BOL,67.6
Bolivia (Estado Plurinacional de),Nacional,Desague,2009,26,,BOL,44
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2009,26,,BOL,86.8
Bolivia (Estado Plurinacional de),Rural,Agua,2009,26,,BOL,31.6
Bolivia (Estado Plurinacional de),Rural,Desague,2009,26,,BOL,9.5
Bolivia (Estado Plurinacional de),Rural,Electricidad,2009,26,,BOL,63.5
Bolivia (Estado Plurinacional de),Urbana,Agua,2009,26,,BOL,86.2
Bolivia (Estado Plurinacional de),Urbana,Desague,2009,26,,BOL,62
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2009,26,,BOL,98.9
Bolivia (Estado Plurinacional de),Nacional,Agua,2011,26,,BOL,70.5
Bolivia (Estado Plurinacional de),Nacional,Desague,2011,26,,BOL,49.7
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2011,26,,BOL,88.4
Bolivia (Estado Plurinacional de),Rural,Agua,2011,26,,BOL,36.4
Bolivia (Estado Plurinacional de),Rural,Desague,2011,26,,BOL,10.7
Bolivia (Estado Plurinacional de),Rural,Electricidad,2011,26,,BOL,66.7
Bolivia (Estado Plurinacional de),Urbana,Agua,2011,26,,BOL,87.4
Bolivia (Estado Plurinacional de),Urbana,Desague,2011,26,,BOL,69
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2011,26,,BOL,99.1
Bolivia (Estado Plurinacional de),Nacional,Agua,2012,26,,BOL,77.6
Bolivia (Estado Plurinacional de),Nacional,Desague,2012,26,,BOL,53.9
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2012,26,,BOL,90.5
Bolivia (Estado Plurinacional de),Rural,Agua,2012,26,,BOL,49.6
Bolivia (Estado Plurinacional de),Rural,Desague,2012,26,,BOL,12.7
Bolivia (Estado Plurinacional de),Rural,Electricidad,2012,26,,BOL,72.5
Bolivia (Estado Plurinacional de),Urbana,Agua,2012,26,,BOL,91.1
Bolivia (Estado Plurinacional de),Urbana,Desague,2012,26,,BOL,73.8
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2012,26,,BOL,99.2
Bolivia (Estado Plurinacional de),Nacional,Agua,2013,26,,BOL,75.3
Bolivia (Estado Plurinacional de),Nacional,Desague,2013,26,,BOL,54.6
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2013,26,,BOL,89.6
Bolivia (Estado Plurinacional de),Rural,Agua,2013,26,,BOL,48.2
Bolivia (Estado Plurinacional de),Rural,Desague,2013,26,,BOL,9.2
Bolivia (Estado Plurinacional de),Rural,Electricidad,2013,26,,BOL,69.3
Bolivia (Estado Plurinacional de),Urbana,Agua,2013,26,,BOL,88.5
Bolivia (Estado Plurinacional de),Urbana,Desague,2013,26,,BOL,76.7
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2013,26,,BOL,99.5
Bolivia (Estado Plurinacional de),Nacional,Agua,2014,26,,BOL,76.9
Bolivia (Estado Plurinacional de),Nacional,Desague,2014,26,,BOL,53
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2014,26,,BOL,90.1
Bolivia (Estado Plurinacional de),Rural,Agua,2014,26,,BOL,55.2
Bolivia (Estado Plurinacional de),Rural,Desague,2014,26,,BOL,7.8
Bolivia (Estado Plurinacional de),Rural,Electricidad,2014,26,,BOL,71.5
Bolivia (Estado Plurinacional de),Urbana,Agua,2014,26,,BOL,87.6
Bolivia (Estado Plurinacional de),Urbana,Desague,2014,26,,BOL,75.2
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2014,26,,BOL,99.3
Bolivia (Estado Plurinacional de),Nacional,Agua,2015,26,,BOL,72.2
Bolivia (Estado Plurinacional de),Nacional,Desague,2015,26,,BOL,46.2
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2015,26,,BOL,91.5
Bolivia (Estado Plurinacional de),Rural,Agua,2015,26,,BOL,39.7
Bolivia (Estado Plurinacional de),Rural,Desague,2015,26,,BOL,12.1
Bolivia (Estado Plurinacional de),Rural,Electricidad,2015,26,,BOL,75
Bolivia (Estado Plurinacional de),Urbana,Agua,2015,26,,BOL,87.7
Bolivia (Estado Plurinacional de),Urbana,Desague,2015,26,,BOL,62.5
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2015,26,,BOL,99.5
Bolivia (Estado Plurinacional de),Nacional,Agua,2016,26,,BOL,68.3
Bolivia (Estado Plurinacional de),Nacional,Desague,2016,26,,BOL,47.1
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2016,26,,BOL,91.6
Bolivia (Estado Plurinacional de),Rural,Agua,2016,26,,BOL,30.3
Bolivia (Estado Plurinacional de),Rural,Desague,2016,26,,BOL,13.2
Bolivia (Estado Plurinacional de),Rural,Electricidad,2016,26,,BOL,74.8
Bolivia (Estado Plurinacional de),Urbana,Agua,2016,26,,BOL,86.3
Bolivia (Estado Plurinacional de),Urbana,Desague,2016,26,,BOL,63.2
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2016,26,,BOL,99.5
Bolivia (Estado Plurinacional de),Nacional,Agua,2017,26,,BOL,72.5
Bolivia (Estado Plurinacional de),Nacional,Desague,2017,26,,BOL,47.6
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2017,26,,BOL,91.9
Bolivia (Estado Plurinacional de),Rural,Agua,2017,26,,BOL,41.7
Bolivia (Estado Plurinacional de),Rural,Desague,2017,26,,BOL,15.9
Bolivia (Estado Plurinacional de),Rural,Electricidad,2017,26,,BOL,76.8
Bolivia (Estado Plurinacional de),Urbana,Agua,2017,26,,BOL,87.9
Bolivia (Estado Plurinacional de),Urbana,Desague,2017,26,,BOL,63.4
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2017,26,,BOL,99.4
Bolivia (Estado Plurinacional de),Nacional,Agua,2018,26,,BOL,70.2
Bolivia (Estado Plurinacional de),Nacional,Desague,2018,26,,BOL,49.7
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2018,26,,BOL,92.8
Bolivia (Estado Plurinacional de),Rural,Agua,2018,26,,BOL,34.3
Bolivia (Estado Plurinacional de),Rural,Desague,2018,26,,BOL,12.2
Bolivia (Estado Plurinacional de),Rural,Electricidad,2018,26,,BOL,78.3
Bolivia (Estado Plurinacional de),Urbana,Agua,2018,26,,BOL,87
Bolivia (Estado Plurinacional de),Urbana,Desague,2018,26,,BOL,67.2
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2018,26,,BOL,99.5
Bolivia (Estado Plurinacional de),Nacional,Agua,2019,26,,BOL,70.5
Bolivia (Estado Plurinacional de),Nacional,Desague,2019,26,,BOL,51.5
Bolivia (Estado Plurinacional de),Nacional,Electricidad,2019,26,,BOL,94.7
Bolivia (Estado Plurinacional de),Rural,Agua,2019,26,,BOL,38.9
Bolivia (Estado Plurinacional de),Rural,Desague,2019,26,,BOL,17.7
Bolivia (Estado Plurinacional de),Rural,Electricidad,2019,26,,BOL,84
Bolivia (Estado Plurinacional de),Urbana,Agua,2019,26,,BOL,85
Bolivia (Estado Plurinacional de),Urbana,Desague,2019,26,,BOL,66.9
Bolivia (Estado Plurinacional de),Urbana,Electricidad,2019,26,,BOL,99.6
Brasil,Nacional,Agua,2001,26,8608,BRA,83.1
Brasil,Nacional,Desague,2001,26,8608,BRA,51.1
Brasil,Nacional,Electricidad,2001,26,8608,BRA,96
Brasil,Rural,Agua,2001,26,8608,BRA,52.2
Brasil,Rural,Desague,2001,26,8608,BRA,22.4
Brasil,Rural,Electricidad,2001,26,8608,BRA,77.6
Brasil,Urbana,Agua,2001,26,8608,BRA,88.5
Brasil,Urbana,Desague,2001,26,8608,BRA,54.5
Brasil,Urbana,Electricidad,2001,26,8608,BRA,99.2
Brasil,Nacional,Agua,2002,26,8608,BRA,84.4
Brasil,Nacional,Desague,2002,26,8608,BRA,51.9
Brasil,Nacional,Electricidad,2002,26,8608,BRA,96.7
Brasil,Rural,Agua,2002,26,8608,BRA,55
Brasil,Rural,Desague,2002,26,8608,BRA,24.7
Brasil,Rural,Electricidad,2002,26,8608,BRA,80.2
Brasil,Urbana,Agua,2002,26,8608,BRA,89.3
Brasil,Urbana,Desague,2002,26,8608,BRA,55.2
Brasil,Urbana,Electricidad,2002,26,8608,BRA,99.4
