Sexo,País,Área geográfica,Escolaridad (EH),Años,id_fuente,ids_notas,iso3,valor
Mujeres,América Latina (promedio simple),Urbana,0 a 5 años,2002,26,8620,,23.8
Ambos sexos,América Latina (promedio simple),Urbana,10 a 12 años,2002,26,8620,,25.1
Hombres,América Latina (promedio simple),Urbana,10 a 12 años,2002,26,8620,,25.2
Mujeres,América Latina (promedio simple),Urbana,10 a 12 años,2002,26,8620,,25.1
Ambos sexos,América Latina (promedio simple),Urbana,13 años y más,2002,26,8620,,20.2
Hombres,América Latina (promedio simple),Urbana,13 años y más,2002,26,8620,,21
Mujeres,América Latina (promedio simple),Urbana,13 años y más,2002,26,8620,,19.6
Ambos sexos,América Latina (promedio simple),Urbana,6 a 9 años,2002,26,8620,,32.6
Hombres,América Latina (promedio simple),Urbana,6 a 9 años,2002,26,8620,,33.8
Mujeres,América Latina (promedio simple),Urbana,6 a 9 años,2002,26,8620,,31.6
Ambos sexos,América Latina (promedio simple),Nacional,0 a 5 años,2003,26,8620,,30.8
Hombres,América Latina (promedio simple),Nacional,0 a 5 años,2003,26,8620,,29.1
Mujeres,América Latina (promedio simple),Nacional,0 a 5 años,2003,26,8620,,32.3
Ambos sexos,América Latina (promedio simple),Nacional,10 a 12 años,2003,26,8620,,20.8
Hombres,América Latina (promedio simple),Nacional,10 a 12 años,2003,26,8620,,20.8
Mujeres,América Latina (promedio simple),Nacional,10 a 12 años,2003,26,8620,,20.7
Ambos sexos,América Latina (promedio simple),Nacional,13 años y más,2003,26,8620,,16.5
Hombres,América Latina (promedio simple),Nacional,13 años y más,2003,26,8620,,16.6
Mujeres,América Latina (promedio simple),Nacional,13 años y más,2003,26,8620,,16.5
Ambos sexos,América Latina (promedio simple),Nacional,6 a 9 años,2003,26,8620,,31.9
Hombres,América Latina (promedio simple),Nacional,6 a 9 años,2003,26,8620,,33.5
Mujeres,América Latina (promedio simple),Nacional,6 a 9 años,2003,26,8620,,30.5
Ambos sexos,América Latina (promedio simple),Rural,0 a 5 años,2003,26,8620,,57.7
Hombres,América Latina (promedio simple),Rural,0 a 5 años,2003,26,8620,,55.2
Mujeres,América Latina (promedio simple),Rural,0 a 5 años,2003,26,8620,,60.1
Ambos sexos,América Latina (promedio simple),Rural,10 a 12 años,2003,26,8620,,8.7
Hombres,América Latina (promedio simple),Rural,10 a 12 años,2003,26,8620,,9.2
Mujeres,América Latina (promedio simple),Rural,10 a 12 años,2003,26,8620,,8.3
Ambos sexos,América Latina (promedio simple),Rural,13 años y más,2003,26,8620,,3.9
Hombres,América Latina (promedio simple),Rural,13 años y más,2003,26,8620,,3.8
Mujeres,América Latina (promedio simple),Rural,13 años y más,2003,26,8620,,3.9
Ambos sexos,América Latina (promedio simple),Rural,6 a 9 años,2003,26,8620,,29.7
Hombres,América Latina (promedio simple),Rural,6 a 9 años,2003,26,8620,,31.8
Mujeres,América Latina (promedio simple),Rural,6 a 9 años,2003,26,8620,,27.7
Ambos sexos,América Latina (promedio simple),Urbana,0 a 5 años,2003,26,8620,,21.5
Hombres,América Latina (promedio simple),Urbana,0 a 5 años,2003,26,8620,,19.3
Mujeres,América Latina (promedio simple),Urbana,0 a 5 años,2003,26,8620,,23.4
Ambos sexos,América Latina (promedio simple),Urbana,10 a 12 años,2003,26,8620,,25.1
Hombres,América Latina (promedio simple),Urbana,10 a 12 años,2003,26,8620,,25.2
Mujeres,América Latina (promedio simple),Urbana,10 a 12 años,2003,26,8620,,24.9
Ambos sexos,América Latina (promedio simple),Urbana,13 años y más,2003,26,8620,,21
Hombres,América Latina (promedio simple),Urbana,13 años y más,2003,26,8620,,21.7
Mujeres,América Latina (promedio simple),Urbana,13 años y más,2003,26,8620,,20.5
Ambos sexos,América Latina (promedio simple),Urbana,6 a 9 años,2003,26,8620,,32.4
Hombres,América Latina (promedio simple),Urbana,6 a 9 años,2003,26,8620,,33.8
Mujeres,América Latina (promedio simple),Urbana,6 a 9 años,2003,26,8620,,31.2
Ambos sexos,América Latina (promedio simple),Nacional,0 a 5 años,2004,26,8620,,30.2
Hombres,América Latina (promedio simple),Nacional,0 a 5 años,2004,26,8620,,28.5
Mujeres,América Latina (promedio simple),Nacional,0 a 5 años,2004,26,8620,,31.6
Ambos sexos,América Latina (promedio simple),Nacional,10 a 12 años,2004,26,8620,,20.7
Hombres,América Latina (promedio simple),Nacional,10 a 12 años,2004,26,8620,,20.9
Mujeres,América Latina (promedio simple),Nacional,10 a 12 años,2004,26,8620,,20.6
Ambos sexos,América Latina (promedio simple),Nacional,13 años y más,2004,26,8620,,17
Hombres,América Latina (promedio simple),Nacional,13 años y más,2004,26,8620,,16.9
Mujeres,América Latina (promedio simple),Nacional,13 años y más,2004,26,8620,,17.1
Ambos sexos,América Latina (promedio simple),Nacional,6 a 9 años,2004,26,8620,,32.1
Hombres,América Latina (promedio simple),Nacional,6 a 9 años,2004,26,8620,,33.7
Mujeres,América Latina (promedio simple),Nacional,6 a 9 años,2004,26,8620,,30.7
Ambos sexos,América Latina (promedio simple),Rural,0 a 5 años,2004,26,8620,,56
Hombres,América Latina (promedio simple),Rural,0 a 5 años,2004,26,8620,,53.4
Mujeres,América Latina (promedio simple),Rural,0 a 5 años,2004,26,8620,,58.5
Ambos sexos,América Latina (promedio simple),Rural,10 a 12 años,2004,26,8620,,9.3
Hombres,América Latina (promedio simple),Rural,10 a 12 años,2004,26,8620,,9.9
Mujeres,América Latina (promedio simple),Rural,10 a 12 años,2004,26,8620,,8.7
Ambos sexos,América Latina (promedio simple),Rural,13 años y más,2004,26,8620,,4.2
Hombres,América Latina (promedio simple),Rural,13 años y más,2004,26,8620,,4.3
Mujeres,América Latina (promedio simple),Rural,13 años y más,2004,26,8620,,4.2
Ambos sexos,América Latina (promedio simple),Rural,6 a 9 años,2004,26,8620,,30.5
Hombres,América Latina (promedio simple),Rural,6 a 9 años,2004,26,8620,,32.5
Mujeres,América Latina (promedio simple),Rural,6 a 9 años,2004,26,8620,,28.6
Ambos sexos,América Latina (promedio simple),Urbana,0 a 5 años,2004,26,8620,,21.2
Hombres,América Latina (promedio simple),Urbana,0 a 5 años,2004,26,8620,,19.1
Mujeres,América Latina (promedio simple),Urbana,0 a 5 años,2004,26,8620,,23.1
Ambos sexos,América Latina (promedio simple),Urbana,10 a 12 años,2004,26,8620,,24.8
Hombres,América Latina (promedio simple),Urbana,10 a 12 años,2004,26,8620,,25.1
Mujeres,América Latina (promedio simple),Urbana,10 a 12 años,2004,26,8620,,24.5
Ambos sexos,América Latina (promedio simple),Urbana,13 años y más,2004,26,8620,,21.5
Hombres,América Latina (promedio simple),Urbana,13 años y más,2004,26,8620,,22
Mujeres,América Latina (promedio simple),Urbana,13 años y más,2004,26,8620,,21.1
Ambos sexos,América Latina (promedio simple),Urbana,6 a 9 años,2004,26,8620,,32.5
Hombres,América Latina (promedio simple),Urbana,6 a 9 años,2004,26,8620,,33.9
Mujeres,América Latina (promedio simple),Urbana,6 a 9 años,2004,26,8620,,31.3
Ambos sexos,América Latina (promedio simple),Nacional,0 a 5 años,2005,26,8620,,29
Hombres,América Latina (promedio simple),Nacional,0 a 5 años,2005,26,8620,,27.5
Mujeres,América Latina (promedio simple),Nacional,0 a 5 años,2005,26,8620,,30.3
Ambos sexos,América Latina (promedio simple),Nacional,10 a 12 años,2005,26,8620,,21.3
Hombres,América Latina (promedio simple),Nacional,10 a 12 años,2005,26,8620,,21.5
Mujeres,América Latina (promedio simple),Nacional,10 a 12 años,2005,26,8620,,21.2
Ambos sexos,América Latina (promedio simple),Nacional,13 años y más,2005,26,8620,,17.9
Hombres,América Latina (promedio simple),Nacional,13 años y más,2005,26,8620,,17.6
Mujeres,América Latina (promedio simple),Nacional,13 años y más,2005,26,8620,,18.1
Ambos sexos,América Latina (promedio simple),Nacional,6 a 9 años,2005,26,8620,,31.8
Hombres,América Latina (promedio simple),Nacional,6 a 9 años,2005,26,8620,,33.4
Mujeres,América Latina (promedio simple),Nacional,6 a 9 años,2005,26,8620,,30.4
Ambos sexos,América Latina (promedio simple),Rural,0 a 5 años,2005,26,8620,,55.2
Hombres,América Latina (promedio simple),Rural,0 a 5 años,2005,26,8620,,52.9
Mujeres,América Latina (promedio simple),Rural,0 a 5 años,2005,26,8620,,57.3
Ambos sexos,América Latina (promedio simple),Rural,10 a 12 años,2005,26,8620,,9.5
Hombres,América Latina (promedio simple),Rural,10 a 12 años,2005,26,8620,,10
Mujeres,América Latina (promedio simple),Rural,10 a 12 años,2005,26,8620,,9
Ambos sexos,América Latina (promedio simple),Rural,13 años y más,2005,26,8620,,4.6
Hombres,América Latina (promedio simple),Rural,13 años y más,2005,26,8620,,4.5
Mujeres,América Latina (promedio simple),Rural,13 años y más,2005,26,8620,,4.7
Ambos sexos,América Latina (promedio simple),Rural,6 a 9 años,2005,26,8620,,30.8
Hombres,América Latina (promedio simple),Rural,6 a 9 años,2005,26,8620,,32.6
Mujeres,América Latina (promedio simple),Rural,6 a 9 años,2005,26,8620,,29
Ambos sexos,América Latina (promedio simple),Urbana,0 a 5 años,2005,26,8620,,19.9
Hombres,América Latina (promedio simple),Urbana,0 a 5 años,2005,26,8620,,18
Mujeres,América Latina (promedio simple),Urbana,0 a 5 años,2005,26,8620,,21.6
Ambos sexos,América Latina (promedio simple),Urbana,10 a 12 años,2005,26,8620,,25.5
Hombres,América Latina (promedio simple),Urbana,10 a 12 años,2005,26,8620,,25.7
Mujeres,América Latina (promedio simple),Urbana,10 a 12 años,2005,26,8620,,25.3
Ambos sexos,América Latina (promedio simple),Urbana,13 años y más,2005,26,8620,,22.5
Hombres,América Latina (promedio simple),Urbana,13 años y más,2005,26,8620,,22.8
Mujeres,América Latina (promedio simple),Urbana,13 años y más,2005,26,8620,,22.3
Ambos sexos,América Latina (promedio simple),Urbana,6 a 9 años,2005,26,8620,,32.1
Hombres,América Latina (promedio simple),Urbana,6 a 9 años,2005,26,8620,,33.5
Mujeres,América Latina (promedio simple),Urbana,6 a 9 años,2005,26,8620,,30.8
Ambos sexos,América Latina (promedio simple),Nacional,0 a 5 años,2006,26,8620,,27.8
Hombres,América Latina (promedio simple),Nacional,0 a 5 años,2006,26,8620,,26.4
Mujeres,América Latina (promedio simple),Nacional,0 a 5 años,2006,26,8620,,29
Ambos sexos,América Latina (promedio simple),Nacional,10 a 12 años,2006,26,8620,,22.2
Hombres,América Latina (promedio simple),Nacional,10 a 12 años,2006,26,8620,,22.4
Mujeres,América Latina (promedio simple),Nacional,10 a 12 años,2006,26,8620,,22
Ambos sexos,América Latina (promedio simple),Nacional,13 años y más,2006,26,8620,,18.3
Hombres,América Latina (promedio simple),Nacional,13 años y más,2006,26,8620,,17.8
Mujeres,América Latina (promedio simple),Nacional,13 años y más,2006,26,8620,,18.7
Ambos sexos,América Latina (promedio simple),Nacional,6 a 9 años,2006,26,8620,,31.8
Hombres,América Latina (promedio simple),Nacional,6 a 9 años,2006,26,8620,,33.3
Mujeres,América Latina (promedio simple),Nacional,6 a 9 años,2006,26,8620,,30.3
Ambos sexos,América Latina (promedio simple),Rural,0 a 5 años,2006,26,8620,,53.4
Hombres,América Latina (promedio simple),Rural,0 a 5 años,2006,26,8620,,51.1
Mujeres,América Latina (promedio simple),Rural,0 a 5 años,2006,26,8620,,55.4
Ambos sexos,América Latina (promedio simple),Rural,10 a 12 años,2006,26,8620,,10.5
Hombres,América Latina (promedio simple),Rural,10 a 12 años,2006,26,8620,,10.9
Mujeres,América Latina (promedio simple),Rural,10 a 12 años,2006,26,8620,,10.2
Ambos sexos,América Latina (promedio simple),Rural,13 años y más,2006,26,8620,,4.8
Hombres,América Latina (promedio simple),Rural,13 años y más,2006,26,8620,,4.6
Mujeres,América Latina (promedio simple),Rural,13 años y más,2006,26,8620,,4.9
Ambos sexos,América Latina (promedio simple),Rural,6 a 9 años,2006,26,8620,,31.3
Hombres,América Latina (promedio simple),Rural,6 a 9 años,2006,26,8620,,33.3
Mujeres,América Latina (promedio simple),Rural,6 a 9 años,2006,26,8620,,29.5
Ambos sexos,América Latina (promedio simple),Urbana,0 a 5 años,2006,26,8620,,19.2
Hombres,América Latina (promedio simple),Urbana,0 a 5 años,2006,26,8620,,17.4
Mujeres,América Latina (promedio simple),Urbana,0 a 5 años,2006,26,8620,,20.6
Ambos sexos,América Latina (promedio simple),Urbana,10 a 12 años,2006,26,8620,,26.3
Hombres,América Latina (promedio simple),Urbana,10 a 12 años,2006,26,8620,,26.7
Mujeres,América Latina (promedio simple),Urbana,10 a 12 años,2006,26,8620,,26
Ambos sexos,América Latina (promedio simple),Urbana,13 años y más,2006,26,8620,,22.8
Hombres,América Latina (promedio simple),Urbana,13 años y más,2006,26,8620,,22.8
Mujeres,América Latina (promedio simple),Urbana,13 años y más,2006,26,8620,,22.9
Ambos sexos,América Latina (promedio simple),Urbana,6 a 9 años,2006,26,8620,,31.7
Hombres,América Latina (promedio simple),Urbana,6 a 9 años,2006,26,8620,,33.1
Mujeres,América Latina (promedio simple),Urbana,6 a 9 años,2006,26,8620,,30.5
Ambos sexos,América Latina (promedio simple),Nacional,0 a 5 años,2007,26,8620,,26.7
Hombres,América Latina (promedio simple),Nacional,0 a 5 años,2007,26,8620,,25.2
Mujeres,América Latina (promedio simple),Nacional,0 a 5 años,2007,26,8620,,27.9
Ambos sexos,América Latina (promedio simple),Nacional,10 a 12 años,2007,26,8620,,21.8
Hombres,América Latina (promedio simple),Nacional,10 a 12 años,2007,26,8620,,22.1
Mujeres,América Latina (promedio simple),Nacional,10 a 12 años,2007,26,8620,,21.5
Ambos sexos,América Latina (promedio simple),Nacional,13 años y más,2007,26,8620,,18.7
Hombres,América Latina (promedio simple),Nacional,13 años y más,2007,26,8620,,18.5
Mujeres,América Latina (promedio simple),Nacional,13 años y más,2007,26,8620,,19
Ambos sexos,América Latina (promedio simple),Nacional,6 a 9 años,2007,26,8620,,32.9
Hombres,América Latina (promedio simple),Nacional,6 a 9 años,2007,26,8620,,34.3
Mujeres,América Latina (promedio simple),Nacional,6 a 9 años,2007,26,8620,,31.6
Ambos sexos,América Latina (promedio simple),Rural,0 a 5 años,2007,26,8620,,49
Hombres,América Latina (promedio simple),Rural,0 a 5 años,2007,26,8620,,46.6
Mujeres,América Latina (promedio simple),Rural,0 a 5 años,2007,26,8620,,51.1
Ambos sexos,América Latina (promedio simple),Rural,10 a 12 años,2007,26,8620,,10.5
Hombres,América Latina (promedio simple),Rural,10 a 12 años,2007,26,8620,,11.2
Mujeres,América Latina (promedio simple),Rural,10 a 12 años,2007,26,8620,,9.9
Ambos sexos,América Latina (promedio simple),Rural,13 años y más,2007,26,8620,,5.1
Hombres,América Latina (promedio simple),Rural,13 años y más,2007,26,8620,,4.9
Mujeres,América Latina (promedio simple),Rural,13 años y más,2007,26,8620,,5.3
Ambos sexos,América Latina (promedio simple),Rural,6 a 9 años,2007,26,8620,,35.5
Hombres,América Latina (promedio simple),Rural,6 a 9 años,2007,26,8620,,37.3
Mujeres,América Latina (promedio simple),Rural,6 a 9 años,2007,26,8620,,33.7
Ambos sexos,América Latina (promedio simple),Urbana,0 a 5 años,2007,26,8620,,18.5
Hombres,América Latina (promedio simple),Urbana,0 a 5 años,2007,26,8620,,16.7
Mujeres,América Latina (promedio simple),Urbana,0 a 5 años,2007,26,8620,,19.9
Ambos sexos,América Latina (promedio simple),Urbana,10 a 12 años,2007,26,8620,,25.8
Hombres,América Latina (promedio simple),Urbana,10 a 12 años,2007,26,8620,,26.1
Mujeres,América Latina (promedio simple),Urbana,10 a 12 años,2007,26,8620,,25.5
Ambos sexos,América Latina (promedio simple),Urbana,13 años y más,2007,26,8620,,23.2
Hombres,América Latina (promedio simple),Urbana,13 años y más,2007,26,8620,,23.4
Mujeres,América Latina (promedio simple),Urbana,13 años y más,2007,26,8620,,23.2
Ambos sexos,América Latina (promedio simple),Urbana,6 a 9 años,2007,26,8620,,32.5
Hombres,América Latina (promedio simple),Urbana,6 a 9 años,2007,26,8620,,33.8
Mujeres,América Latina (promedio simple),Urbana,6 a 9 años,2007,26,8620,,31.4
Ambos sexos,América Latina (promedio simple),Nacional,0 a 5 años,2008,26,8620,,26.6
Hombres,América Latina (promedio simple),Nacional,0 a 5 años,2008,26,8620,,25.4
Mujeres,América Latina (promedio simple),Nacional,0 a 5 años,2008,26,8620,,27.6
Ambos sexos,América Latina (promedio simple),Nacional,10 a 12 años,2008,26,8620,,23.2
Hombres,América Latina (promedio simple),Nacional,10 a 12 años,2008,26,8620,,23.4
Mujeres,América Latina (promedio simple),Nacional,10 a 12 años,2008,26,8620,,23.1
Ambos sexos,América Latina (promedio simple),Nacional,13 años y más,2008,26,8620,,19.1
Hombres,América Latina (promedio simple),Nacional,13 años y más,2008,26,8620,,18.6
Mujeres,América Latina (promedio simple),Nacional,13 años y más,2008,26,8620,,19.6
Ambos sexos,América Latina (promedio simple),Nacional,6 a 9 años,2008,26,8620,,31.1
Hombres,América Latina (promedio simple),Nacional,6 a 9 años,2008,26,8620,,32.6
Mujeres,América Latina (promedio simple),Nacional,6 a 9 años,2008,26,8620,,29.7
Ambos sexos,América Latina (promedio simple),Rural,0 a 5 años,2008,26,8620,,49.8
Hombres,América Latina (promedio simple),Rural,0 a 5 años,2008,26,8620,,47.9
Mujeres,América Latina (promedio simple),Rural,0 a 5 años,2008,26,8620,,51.5
Ambos sexos,América Latina (promedio simple),Rural,10 a 12 años,2008,26,8620,,11.3
Hombres,América Latina (promedio simple),Rural,10 a 12 años,2008,26,8620,,11.8
Mujeres,América Latina (promedio simple),Rural,10 a 12 años,2008,26,8620,,10.9
Ambos sexos,América Latina (promedio simple),Rural,13 años y más,2008,26,8620,,5
Hombres,América Latina (promedio simple),Rural,13 años y más,2008,26,8620,,4.8
Mujeres,América Latina (promedio simple),Rural,13 años y más,2008,26,8620,,5.3
Ambos sexos,América Latina (promedio simple),Rural,6 a 9 años,2008,26,8620,,33.9
Hombres,América Latina (promedio simple),Rural,6 a 9 años,2008,26,8620,,35.6
Mujeres,América Latina (promedio simple),Rural,6 a 9 años,2008,26,8620,,32.3
Ambos sexos,América Latina (promedio simple),Urbana,0 a 5 años,2008,26,8620,,18.3
Hombres,América Latina (promedio simple),Urbana,0 a 5 años,2008,26,8620,,16.8
Mujeres,América Latina (promedio simple),Urbana,0 a 5 años,2008,26,8620,,19.6
Ambos sexos,América Latina (promedio simple),Urbana,10 a 12 años,2008,26,8620,,27.3
Hombres,América Latina (promedio simple),Urbana,10 a 12 años,2008,26,8620,,27.6
Mujeres,América Latina (promedio simple),Urbana,10 a 12 años,2008,26,8620,,27
Ambos sexos,América Latina (promedio simple),Urbana,13 años y más,2008,26,8620,,23.7
Hombres,América Latina (promedio simple),Urbana,13 años y más,2008,26,8620,,23.6
Mujeres,América Latina (promedio simple),Urbana,13 años y más,2008,26,8620,,23.9
Ambos sexos,América Latina (promedio simple),Urbana,6 a 9 años,2008,26,8620,,30.7
Hombres,América Latina (promedio simple),Urbana,6 a 9 años,2008,26,8620,,32.1
Mujeres,América Latina (promedio simple),Urbana,6 a 9 años,2008,26,8620,,29.4
Ambos sexos,América Latina (promedio simple),Nacional,0 a 5 años,2009,26,8620,,25.5
Hombres,América Latina (promedio simple),Nacional,0 a 5 años,2009,26,8620,,24.4
Mujeres,América Latina (promedio simple),Nacional,0 a 5 años,2009,26,8620,,26.5
Ambos sexos,América Latina (promedio simple),Nacional,10 a 12 años,2009,26,8620,,23.6
Hombres,América Latina (promedio simple),Nacional,10 a 12 años,2009,26,8620,,24
Mujeres,América Latina (promedio simple),Nacional,10 a 12 años,2009,26,8620,,23.2
Ambos sexos,América Latina (promedio simple),Nacional,13 años y más,2009,26,8620,,19.8
Hombres,América Latina (promedio simple),Nacional,13 años y más,2009,26,8620,,19
Mujeres,América Latina (promedio simple),Nacional,13 años y más,2009,26,8620,,20.6
Ambos sexos,América Latina (promedio simple),Nacional,6 a 9 años,2009,26,8620,,31.1
Hombres,América Latina (promedio simple),Nacional,6 a 9 años,2009,26,8620,,32.6
Mujeres,América Latina (promedio simple),Nacional,6 a 9 años,2009,26,8620,,29.7
Ambos sexos,América Latina (promedio simple),Rural,0 a 5 años,2009,26,8620,,48.3
Hombres,América Latina (promedio simple),Rural,0 a 5 años,2009,26,8620,,46.5
Mujeres,América Latina (promedio simple),Rural,0 a 5 años,2009,26,8620,,49.9
Ambos sexos,América Latina (promedio simple),Rural,10 a 12 años,2009,26,8620,,12
Hombres,América Latina (promedio simple),Rural,10 a 12 años,2009,26,8620,,12.6
Mujeres,América Latina (promedio simple),Rural,10 a 12 años,2009,26,8620,,11.5
Ambos sexos,América Latina (promedio simple),Rural,13 años y más,2009,26,8620,,5.3
Hombres,América Latina (promedio simple),Rural,13 años y más,2009,26,8620,,4.9
Mujeres,América Latina (promedio simple),Rural,13 años y más,2009,26,8620,,5.7
Ambos sexos,América Latina (promedio simple),Rural,6 a 9 años,2009,26,8620,,34.5
Hombres,América Latina (promedio simple),Rural,6 a 9 años,2009,26,8620,,36
Mujeres,América Latina (promedio simple),Rural,6 a 9 años,2009,26,8620,,33
Ambos sexos,América Latina (promedio simple),Urbana,0 a 5 años,2009,26,8620,,17.5
Hombres,América Latina (promedio simple),Urbana,0 a 5 años,2009,26,8620,,16.1
Mujeres,América Latina (promedio simple),Urbana,0 a 5 años,2009,26,8620,,18.7
Ambos sexos,América Latina (promedio simple),Urbana,10 a 12 años,2009,26,8620,,27.6
Hombres,América Latina (promedio simple),Urbana,10 a 12 años,2009,26,8620,,28.1
Mujeres,América Latina (promedio simple),Urbana,10 a 12 años,2009,26,8620,,27.2
Ambos sexos,América Latina (promedio simple),Urbana,13 años y más,2009,26,8620,,24.5
Hombres,América Latina (promedio simple),Urbana,13 años y más,2009,26,8620,,24
Mujeres,América Latina (promedio simple),Urbana,13 años y más,2009,26,8620,,25
Ambos sexos,América Latina (promedio simple),Urbana,6 a 9 años,2009,26,8620,,30.4
Hombres,América Latina (promedio simple),Urbana,6 a 9 años,2009,26,8620,,31.8
Mujeres,América Latina (promedio simple),Urbana,6 a 9 años,2009,26,8620,,29.2
Ambos sexos,América Latina (promedio simple),Nacional,0 a 5 años,2010,26,8620,,25.1
Hombres,América Latina (promedio simple),Nacional,0 a 5 años,2010,26,8620,,23.9
Mujeres,América Latina (promedio simple),Nacional,0 a 5 años,2010,26,8620,,26
Ambos sexos,América Latina (promedio simple),Nacional,10 a 12 años,2010,26,8620,,23.9
